id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,est_sh_6,est_sh_7,est_sh_8,est_sh_9,est_sh_11,own_fen,own_men,size
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,37.6,35.1,4.5,.2,22.6,0,100,2
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,42.3,30.6,3.4,1.5,22.3,0,100,2
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,55.7,17.9,,5.100000000000001,21.4,0,100,2
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,43.7,34.1,1.2,.7000000000000001,20.3,0,100,2
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,50,26.4,1.8,1.7,20,0,100,2
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,68.60000000000001,3.8,3.8,4.7,19,1,99,2
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,66.90000000000001,11.4,8.5,.1,13.1,0,100,1
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,69.7,10.4,7.600000000000001,.2,12.1,2,98,1
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,90.90000000000001,3.3,,1.3,4.5,17,83,1
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,63,17.5,1.5,.2,17.9,1,99,1
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,63.8,15.6,1.6,.4,18.6,1,99,1
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,68.10000000000001,5.600000000000001,2.2,1.7,22.4,0,100,2
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,36.3,14.7,,,49,18,82,1
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,41.1,13.3,0,.4,45.1,16,84,1
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,79,2.2,.4,3.9,14.4,0,100,2
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,72.2,13,,.5,14.3,0,100,1
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,72.40000000000001,12.1,.1,.6000000000000001,14.8,0,100,1
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,73.8,7.100000000000001,.7000000000000001,.9,17.6,0,100,2
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,74.40000000000001,3.3,,1.1,21.2,0,100,1
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,74,4.7,.1,1.1,20.1,1,99,1
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,72.10000000000001,11.2,.4,1.3,14.9,1,99,2
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,68.8,6.800000000000001,,.4,23.9,0,100,1
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,69.10000000000001,8.6,,.7000000000000001,21.6,0,100,1
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,69.8,13.2,,1.3,15.7,1,99,1
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,60.40000000000001,2.5,,1.2,35.9,0,100,1
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,61.5,2.6,0,1.7,34.1,1,99,1
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,69.10000000000001,3.2,.2,5.300000000000001,22.1,3,97,2
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,78.10000000000001,7.800000000000001,,,14.1,1,99,1
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,76.5,8.1,,1.4,13.9,2,98,2
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,70.8,9.300000000000001,,6.600000000000001,13.3,6,94,2
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,67.90000000000001,13,,.2,18.9,0,100,1
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,68.40000000000001,12.5,,.3,18.9,0,100,1
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,72,8.300000000000001,,.6000000000000001,19.1,1,99,2
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,66.3,9.5,,4.100000000000001,20.1,0,100,1
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,68.60000000000001,7.7,.4,6.9,16.5,3,97,1
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,70.7,6.100000000000001,.7000000000000001,9.4,13.2,6,94,2
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,44.7,7.7,,,47.6,0,100,1
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,52.1,7.4,,.3,40.2,1,99,1
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,76.2,6.5,,1.2,16.1,2,98,1
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,64.5,8.200000000000001,.2,2.1,24.9,0,100,1
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,64.3,9.200000000000001,.2,2.1,24.1,0,100,1
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,61.7,22.7,,1.4,14.2,0,100,2
