id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,icti_inf_man,icti_inf_ser
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,0,0
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,0,.5
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,0,2.1
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,0,0
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,0,0
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,0,.2
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,0,0
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,0,0
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,0,0
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,0,0
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,0,0
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,0,0
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,0,0
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,0,.5
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,0,4.600000000000001
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,0,0
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,0,.1
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,0,.9
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,0,0
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,0,.1
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,0,.4
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,0,0
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,0,0
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,0,0
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,0,.5
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,.6000000000000001,.8
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,4.7,2.7
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,0,0
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,0,.6000000000000001
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,0,3
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,0,0
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,0,.1
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,0,.6000000000000001
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,0,0
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,0,.4
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,0,.7000000000000001
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,0,0
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,0,0
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,0,0
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,0,.1
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,0,.1
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,0,.4
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,0,0
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,0,.3
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,0,2.8
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,0,0
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,0,.2
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,0,1.1
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,0,0
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,0,0
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,0,0
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,0,0
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,0,.1
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,0,.5
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,0,0
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,0,.1
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,0,.6000000000000001
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,0,0
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,0,.2
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,0,1.7
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,0,0
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,0,.3
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,0,1
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,0,0
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,0,0
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,0,.1
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,0,0
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,0,0
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,0,0
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,0,0
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,0,.5
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,0,1.1
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,0,0
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,0,.1
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,0,.5
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,0,0
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,0,.1
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,0,.3
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,0,0
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,0,.7000000000000001
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,0,1.6
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,0,0
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,.1,1.1
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,.1,1.5
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,0,0
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,0,.9
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,0,2.5
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,0,0
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,0,.1
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,0,.2
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),0,0
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),0,.1
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),0,1.2
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,0,0
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,0,.3
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,0,1
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,0,0
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,0,0
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,0,0
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,0,0
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,1.7,.6000000000000001
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,7.600000000000001,3.6
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,0,.3
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,0,.2
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,0,.2
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,0,0
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,0,0
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,0,0
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,0,0
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,0,0
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,0,0
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,0,0
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,0,0
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,0,0
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,0,0
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,,
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,0,2.6
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,0,2.7
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,0,3.3
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,0,0
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,7.7,1.5
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,25,4.2
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,.9,.9
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,.6000000000000001,2.5
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,0,3.9
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,,0
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,0,0
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,0,0
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,0,0
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,0,1.6
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,0,4.2
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,0,.5
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,0,1.7
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,0,3.3
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,0,.5
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,0,.5
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,0,.3
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,0,.3
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,0,0
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,0,0
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,0,0
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,0,2.4
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,0,5
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,0,0
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,0,0
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,0,0
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,0,0
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,0,0
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,0,0
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,0,3.2
