id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,wkp_15_t,wkp_15_f,wkp_15_m,wkp_7_t,wkp_7_f,wkp_7_m,lfp_15_u_t,lfp_15_u_f,lfp_15_u_m,lfp_15_w_t,lfp_15_w_f,lfp_15_w_m,emp_7_t,emp_7_f,emp_7_m
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,59.90000000000001,53.5,65.8,79.90000000000001,79.40000000000001,80.40000000000001,43.7,.5,75.7,43.7,.5,75.7,48.3,34.5,60.7
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,60.1,54.8,64.7,80.30000000000001,79.80000000000001,80.7,43.2,.5,75.2,43.2,.5,75.2,46.8,32.1,60.1
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,61.40000000000001,71.2,55,83.7,83.5,84,37.8,0,69.8,37.8,0,69.8,34,11.3,54.2
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,64.7,64.10000000000001,65.10000000000001,79.80000000000001,79.40000000000001,80.10000000000001,42.7,5.800000000000001,73.2,42.7,5.800000000000001,73.2,43.3,25.9,58.90000000000001
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,64.7,64.10000000000001,65.2,80,79.7,80.40000000000001,42.5,5.7,72.8,42.5,5.7,72.8,42.6,24.7,58.5
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,64.90000000000001,63.3,66,82.90000000000001,82.60000000000001,83.2,38.3,2.3,63,38.3,2.3,63,34,11.4,53.8
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,59.1,61,57.3,80.40000000000001,80,80.7,53.7,9.800000000000001,95.90000000000001,53.7,9.800000000000001,95.90000000000001,41.3,20.4,59.7
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,58.8,60.90000000000001,56.90000000000001,80.40000000000001,80,80.80000000000001,53.5,9.5,95.7,53.5,9.5,95.7,41,20.1,59.5
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,50.8,56.2,46.6,80.80000000000001,80.2,81.30000000000001,46,.6000000000000001,89.80000000000001,46.2,1.1,89.80000000000001,35.3,12.5,55.3
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,56.5,55.40000000000001,58.1,80.40000000000001,80.10000000000001,80.80000000000001,48.7,13.8,94.40000000000001,47.3,13.8,91,40.7,19.6,59.6
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,57.2,56.1,58.8,80.60000000000001,80.30000000000001,80.90000000000001,47.90000000000001,13.5,91.5,46.7,13.7,88.5,40.40000000000001,19.1,59.3
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,69.5,72.5,67.2,84,84,84,36.1,8,59.3,37.4,10.8,59.3,35.1,11.9,55.5
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,66.5,73,61.2,81.90000000000001,81.80000000000001,81.90000000000001,39.2,.2,77.60000000000001,39.2,.2,77.60000000000001,44.8,30.6,58
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,66.2,72.60000000000001,60.90000000000001,81.90000000000001,81.80000000000001,82,39.40000000000001,.4,77.7,39.40000000000001,.4,77.7,44.5,30.1,57.90000000000001
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,57.90000000000001,61.40000000000001,55.2,84,83.80000000000001,84.30000000000001,45,7.300000000000001,78,45,7.300000000000001,78,36.7,16.9,54.40000000000001
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,54.1,59.90000000000001,49.90000000000001,80.2,80.10000000000001,80.40000000000001,50.8,3.4,92.80000000000001,50.6,2.9,92.80000000000001,49.7,39.1,59.6
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,54.7,60.3,50.5,80.40000000000001,80.2,80.5,50.3,3.3,91.5,50.1,2.9,91.7,49,37.8,59.3
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,64.3,69.2,60.8,83.30000000000001,82.90000000000001,83.60000000000001,41.2,3.2,72.3,42.40000000000001,3.2,74.40000000000001,34.3,12.1,54
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,59.7,64.7,55.2,79.2,78.80000000000001,79.60000000000001,43.90000000000001,9.4,80.60000000000001,42.3,9.4,77.30000000000001,48.6,35.1,61
