id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,neo_mr,imr_t,imr_f,imr_m,u5mr_t,u5mr_f,u5mr_m,morb_chd_ari,morb_chd_dia,morb_chd_fev,morb_ari,morb_dia,morb_fev,morb_art,morb_ast,morb_diab,morb_hyp,morb_tub
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,36,55,59,51,81,85,76,35.2,12.1,45.2,6049,4189,10631,2111,1323,246,776,525
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,37,57,60,54,81,85,78,35.2,12.1,45.1,5839,3964,10482,2038,1305,312,849,537
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,50,82,72,92,98,90,107,36.3,11.9,43,3655,1616,8927,1270,1116,1000,1616,654
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,35,55,57,52,72,75,70,27.3,17.1,41.1,4623,5145,11918,2351,1219,299,872,691
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,37,57,60,54,75,79,71,26.5,17.2,41,4368,5268,11805,2362,1239,397,1016,675
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,53,77,90,66,100,124,79,,,,,,,,,,,
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,32,51,57,45,89,100,79,24.4,12.5,42.3,3575,3453,13304,2153,1514,107,641,576
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,31,50,56,45,87,98,77,24.5,12.1,42.40000000000001,3480,3420,15554,2100,1510,124,628,640
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,25,35,37,32,51,72,32,,,,,,,,,,,
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,46,70,72,69,111,120,103,25.2,8.1,36,6004,4450,7994,1700,1400,237,1014,743
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,43,67,69,66,106,115,97,24.7,8.700000000000001,37.2,5686,4206,7678,1669,1392,279,1094,725
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,,,,,,,,,,,,,,,,,,
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,33,54,58,50,73,81,67,19.1,10.9,24,2660,2181,3446,1394,930,198,1018,507
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,32,54,58,50,73,80,67,18.9,10.9,23.9,2638,2155,3501,1374,928,206,1018,501
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,,,,,,,,,,,,,,,,,,
