id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,cr_s,fo_s,n_oper_t,n_oper_gov,n_oper_pri,n_oper_fo,c_oper_t,s_pr_t,s_pr_nat,s_pr_int
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,74.8,.3,0,0,0,0,0,7.2,7.2,0
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,98.60000000000001,0,0,0,0,0,0,0,0,0
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,99.7,0,0,0,0,0,0,0,0,0
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,98.2,0,0,0,0,0,0,0,0,0
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,94.7,0,0,0,0,0,0,0,0,0
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,86.60000000000001,0,0,0,0,0,0,0,0,0
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,91,0,0,0,0,0,0,0,0,0
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,72.10000000000001,0,0,0,0,0,0,0,0,0
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,88.5,0,0,0,0,0,0,0,0,0
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,91.2,0,0,0,0,0,0,1.8,1.8,0
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,70.90000000000001,0,0,0,0,0,0,0,0,0
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,80.60000000000001,0,0,0,0,0,0,0,0,0
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,93.2,0,0,0,0,0,0,0,0,0
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,98,0,0,0,0,0,0,0,0,0
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,97.5,0,0,0,0,0,0,0,0,0
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,97.90000000000001,0,0,0,0,0,0,0,0,0
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,93.40000000000001,0,0,0,0,0,0,0,0,0
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,94.2,0,0,0,0,0,0,0,0,0
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,96.90000000000001,0,3,3,0,0,47,0,0,0
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,88.40000000000001,0,1,1,0,0,3830,0,0,0
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,96.2,0,0,0,0,0,0,2,2,0
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,85.40000000000001,0,0,0,0,0,0,5.2,5.2,0
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,83.10000000000001,.1,0,0,0,0,0,6.4,6.4,0
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,67.3,2.7,0,0,0,0,0,14.6,14.6,0
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,86.90000000000001,.6000000000000001,0,0,0,0,0,11.8,11.8,0
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,97.40000000000001,0,0,0,0,0,0,0,0,0
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,97.2,0,0,0,0,0,0,3.9,3.9,0
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,86.7,0,0,0,0,0,0,0,0,0
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,94.40000000000001,0,0,0,0,0,0,0,0,0
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,96.10000000000001,0,0,0,0,0,0,0,0,0
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),67.5,.7000000000000001,0,0,0,0,0,40.3,40.3,0
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,82.2,.5,0,0,0,0,0,24.6,24.6,0
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,92.2,.6000000000000001,0,0,0,0,0,0,0,0
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,87.60000000000001,.9,0,0,0,0,0,8.9,8.9,0
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,73.40000000000001,3.5,0,0,0,0,0,.7000000000000001,.7000000000000001,0
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,65.5,2.4,0,0,0,0,0,17.7,17.7,0
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,98.5,0,0,0,0,0,0,0,0,0
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,92.40000000000001,0,0,0,0,0,0,0,0,0
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,0,8,0,0,0,0,0,34.1,34.1,0
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,.5,8.9,0,0,0,0,0,40.1,40.1,0
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,1.6,5.9,0,0,0,0,0,13.2,13.2,0
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,.6000000000000001,10.3,0,0,0,0,0,11.3,11.3,0
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,.1,20.8,0,0,0,0,0,0,0,0
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,.3,34.5,0,0,0,0,0,16.2,16.2,0
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,.1,51,0,0,0,0,0,29.2,29.2,0
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,.7000000000000001,64.5,0,0,0,0,0,5.5,5.5,0
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,.7000000000000001,64.5,0,0,0,0,0,5.5,5.5,0
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,.1,41.5,0,0,0,0,0,0,0,0
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,.2,50.3,0,0,0,0,0,14.8,14.8,0
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,.2,50.3,0,0,0,0,0,14.8,14.8,0
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,3.4,50.2,0,0,0,0,0,16.1,16.1,0
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,3.4,50.2,0,0,0,0,0,16.1,16.1,0
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,0,22.1,0,0,0,0,0,11.9,11.9,0
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,.9,65.2,0,0,0,0,0,56.3,56.3,0
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,0,85.10000000000001,0,0,0,0,0,0,0,0
