id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,gdp,gdp_pc,sgdp_s1,sgdp_s2,sgdp_s3,sgdp_s4,sgdp_s5,sgdp_s6,sgdp_s7,sgdp_s8,sgdp_s9,sgdp_s10,sgdp_s11
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,490,150,48.40000000000001,0,7.100000000000001,1.3,5,4.9,4.5,5.9,5.9,5.300000000000001,11.8
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,536,127,49.1,0,6.5,1,4.7,5.100000000000001,5.5,1,5,6.600000000000001,15.5
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,49.90000000000001,88.60000000000001,53.1,0,4.9,.6000000000000001,4.7,1.2,2.5,2.8,4.600000000000001,8,17.6
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,311,107,35.9,0,7.800000000000001,1.4,7.100000000000001,5.300000000000001,3.3,5.300000000000001,5.800000000000001,7.7,20.4
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,580,153,54.6,0,4.3,1.2,3.3,2.8,3.5,4,3.5,6.100000000000001,16.8
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,249,134,61.40000000000001,0,4.5,.6000000000000001,4.5,1,2.3,2.6,4.100000000000001,5.9,13.1
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,267,114,51.1,0,5.9,.6000000000000001,5.2,4.4,2.7,3.8,5.2,5.5,15.6
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,195,140,53.90000000000001,0,5.9,.4,5,4.5,3.9,2.8,6,4.7,13
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,392,142,45.6,0,4.7,.5,4.2,7.600000000000001,5.4,5.2,5.800000000000001,6.600000000000001,14.4
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,421,164,45.1,0,5,.8,4.3,5.9,13.3,3.1,5.4,5.800000000000001,11.3
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,214,131,63.1,0,4.3,.6000000000000001,3.2,2.5,1.8,2.3,3.9,5.100000000000001,13.2
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,263,161,45.40000000000001,0,3.8,1.2,5,4.9,6.600000000000001,3.3,5.2,9.4,15.1
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,489,138,30.5,0,5.7,2.1,5.9,6.300000000000001,7.300000000000001,6.9,6.300000000000001,9.1,19.8
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,753,189,30.6,0,5.9,2.8,5.5,10.8,9.600000000000001,7,5.4,8.1,14.2
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,290,127,44.3,0,8.300000000000001,1.5,8.200000000000001,4,4,3.5,4.7,5.7,15.8
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,358,125,38.90000000000001,0,6.2,1.5,8.300000000000001,5.300000000000001,5.7,3.5,4.5,6.2,20
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,455,132,31.9,0,6.300000000000001,1.8,7.300000000000001,4.9,13.7,4.5,6,7.4,16.2
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,429,149,39.40000000000001,0,7.4,2.2,6.4,4.9,6.9,4.100000000000001,4.5,7.100000000000001,17
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,509,142,38.40000000000001,0,6.100000000000001,1.6,5.2,5.9,10.2,3.9,3.7,6.600000000000001,18.5
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,608,242,22.7,0,15.2,3.5,4.800000000000001,23.7,8.200000000000001,2.5,3,4.3,12.2
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,205,150,45,0,3.7,1,6.5,3.7,11.3,2.3,4.9,6.7,15
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,544,211,23.9,.1,6.2,5.300000000000001,6.300000000000001,14.6,8.6,4.4,6.9,8.700000000000001,14.8
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,219,129,55.5,.1,8.1,.8,4.100000000000001,1.1,2.5,2.8,3.8,5.9,15.3
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,310,261,16.4,.1,11,1.5,7.7,7.800000000000001,19.5,4.3,9.1,8.800000000000001,13.9
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,130,156,29.3,.3,6.300000000000001,1.1,7.600000000000001,6.7,10.7,3.7,7.100000000000001,6.300000000000001,21
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,69.3,122,34.1,.2,7.4,1.5,6.5,1.9,3.5,3.5,9.1,10,22.2
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,357,145,30.9,0,7.2,1.6,5.7,5.9,5.4,4.4,7.600000000000001,9.5,21.7
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,4124,814,4,0,2.1,.8,2,66.3,5.600000000000001,3.7,4.100000000000001,5.800000000000001,5.5
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,347,146,30.5,.6000000000000001,6.800000000000001,1.3,6,5.100000000000001,8.700000000000001,6.100000000000001,7,12.5,15.5
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,198,132,40.5,0,5.800000000000001,1.9,6.100000000000001,5.4,5.7,3.7,5.4,10,15.5
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),191,138,51.2,0,9.800000000000001,.8,5.100000000000001,5.4,4.2,1.7,3,5.800000000000001,13
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,477,183,42.40000000000001,.5,6.600000000000001,1.6,5.7,6.2,6.300000000000001,3.7,6.2,7.600000000000001,13.2
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,291,135,41.90000000000001,.3,9.4,1.7,5.2,4.4,4.9,2.7,5,7.5,16.9
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,569,153,25.7,.1,6.800000000000001,1.9,4.800000000000001,10.9,13.8,4.2,6.5,9.4,15.9
