id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,lp_inf_man_t,lp_inf_man_1,lp_inf_man_2,lp_inf_man_3,lp_inf_man_4,lp_inf_man_5,lp_inf_man_6,lp_inf_man_7,lp_inf_man_8,lp_inf_man_9,lp_inf_man_10,lp_inf_man_11,lp_inf_man_12,lp_inf_man_13,kl_inf_man_t,kl_inf_man_1,kl_inf_man_2,kl_inf_man_3,kl_inf_man_4,kl_inf_man_5,kl_inf_man_6,kl_inf_man_7,kl_inf_man_8,kl_inf_man_9,kl_inf_man_10,kl_inf_man_11,kl_inf_man_12,kl_inf_man_13
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,128.7,265.7,92.10000000000001,94.7,,,,72,91.90000000000001,,,,,,635,802.6,633.4000000000001,687.4000000000001,,,,297,996.9000000000001,,,,,
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,190.1,372.3,94.80000000000001,196.4,,,107.1,72,354,,,,,424.6,1021.1,1574.1,814.7000000000001,804.8000000000001,,,1307.6,297,1713.1,,,,,1250.6
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,332.4,526,108.2,257.2,,,107.1,,605.9,,,,,424.6,1914.9,2685.6,1706.5,874.9000000000001,,,1307.6,,2401.6,,,,,1250.6
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,138.7,227.7,93.30000000000001,95.30000000000001,,,,85.2,,,,,,211,1996.7,4378.5,1097.5,275.2,,,,526,,,,,,1347.7
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,198.4,251.7,119.5,281.1,134.3,,,85.2,486.8,,,,,333.6,2049.5,3623,1473.8,842.2000000000001,4021.1,,,526,1013.5,,,,,1620.6
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,323,300.3,196.4,560.7000000000001,134.3,,,,486.8,,,,,399.1,2159.7,2093.2,2576.2,1695.6,4021.1,,,,1013.5,,,,,1766.3
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,181.3,118,120.9,326.5,,,,258.7,205.8,,,,,804.5,1286.8,1377.5,721.8000000000001,1130.8,,,,1747.2,662.1,,,,,1150.1
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,206.5,119.3,116.4,326.5,760.7000000000001,,,253.4,249.9,,,,,1116.7,1265.8,1374.8,716.7000000000001,1130.8,2464.1,,,1717,653.4000000000001,,,,,1133.6
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,449.1,137.6,79.80000000000001,,760.7000000000001,,,34.1,357.4,,,,,1533.2,1063,1337,675.8000000000001,,2464.1,,,475,632.1,,,,,1111.7
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,162.8,137.4,71.90000000000001,392.8,,,,56.7,219.2,,,,,57.1,600.4,834,525.6,676.3000000000001,,,,243.9,905.9000000000001,,,,,87.30000000000001
