id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,lp_inf_ser_t,lp_inf_ser_6,lp_inf_ser_7,lp_inf_ser_8,lp_inf_ser_9,lp_inf_ser_11,kl_inf_ser_t,kl_inf_ser_6,kl_inf_ser_7,kl_inf_ser_8,kl_inf_ser_9,kl_inf_ser_11
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,253.7,405.2000000000001,181.5,190.7,146.1,127.2,1447.3,1094.5,2125.4,1185.4,4270.900000000001,1005.1
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,341.4,568,195.5,190.7,223.9,141.1,1875.2,1687.1,2421.3,1185.4,3616.8,1469.1
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,595.9,885.1,274.8,,234.2,184.7,3108.7,2841.1,4092.2,,3529.3,2882.5
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,307.7000000000001,437.4,257.7,187.7,115.6,125.9,2091.5,1438.5,3416.4,2118.6,1357.6,1296.8
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,350.7000000000001,501.2000000000001,254.3,208.5,162.9,130.7,2301.1,1948,3362.9,3637.5,1836.9,1690.9
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,477.7000000000001,621.3000000000001,166.3,227.6,183.1,145.8,2925.7,2907.3,1960.1,5028.900000000001,2042,2990.7
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,278.3,361.2000000000001,76.3,157.6,135.9,109.7,972.4000000000001,1098.5,326.1,670.7000000000001,5946.5,1056.2
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,337.9,436.8,76.3,157.6,133.8,109.6,997.3000000000001,1120.2,325.1,670.7000000000001,2466.7,1045.4
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,790.2000000000001,858.9000000000001,76.7,,132.8,106.8,1186.3,1241.5,298.7,,857.1,808.4000000000001
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,310.8,441.1,70.2,98.5,52.8,106.9,737.5,691.1,671.2000000000001,1080.7,859.5,936.1
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,329.5,463.1,71,102.6,120.9,112.1,1004.6,1002.1,702.9000000000001,1466.4,2097.3,1203.2
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,430.6,572.8000000000001,84.80000000000001,117.4,159,134.7,2444,2552.1,1231.4,2840.4,2788.5,2355.4
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,148.2,281,104.4,,,62.90000000000001,461.5,526.3000000000001,341.2000000000001,,,449.6
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,201.9,380.9,106.3,235.7,284.9,66,601,771.7000000000001,389,857.1,1746.1,496.6
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,625.2000000000001,742.6,205.4,235.7,284.9,150.1,1700.6,1660,2878.7,857.1,1746.1,1753.6
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,624.6,832.9000000000001,65.8,,153.9,99,750.8000000000001,749.3000000000001,551.8000000000001,,1242.8,921.7000000000001
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,618.8000000000001,817.7000000000001,67.5,450,159.6,112.5,901.8000000000001,878.8000000000001,595.9,2528.4,1574.9,1229.7
