id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,anc,cond,fam_pln
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,37.1,.1,29.4
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,36.3,.4,29.5
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,,,
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,34.6,.7000000000000001,23.6
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,34.8,1.2,24.6
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,,,
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,17.6,.4,22.1
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,18.2,.4,23.1
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,,,
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,24.2,.3,23.3
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,24.9,.5,24.3
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,,,
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,34.3,.4,31.8
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,33.6,.5,31.4
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,,,
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,20.5,.4,44.1
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,20,.4,43.5
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,,,
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,41.90000000000001,.2,29.3
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,41,.2,30.2
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,,,
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,26.1,.8,23.7
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,27.7,1.2,25
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,,,
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,16.4,1,25.1
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,17.7,1.1,27
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,,,
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,30.8,.6000000000000001,19.4
