id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,une_15_u_t,une_15_u_f,une_15_u_m,une_15_w_t,une_15_w_f,une_15_w_m,une_1524_u_t,une_1524_u_f,une_1524_u_m,une_1524_w_t,une_1524_w_f,une_1524_w_m,und_15_t,und_15_f,und_15_m
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,3.6,0,3.6,3.6,0,3.6,13.6,,13.6,13.6,,13.6,23.1,43.7,11.9
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,3.3,0,3.4,3.3,0,3.4,12.9,,12.9,12.9,,12.9,22.1,43.90000000000001,11
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,0,,0,0,,0,0,,0,0,,0,11.9,46.7,2.6
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,8.6,12.7,8.300000000000001,9,12.7,8.800000000000001,35.2,22.2,38,37.3,22.2,40.5,15.7,36,6.9
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,8.4,12.6,8.1,8.800000000000001,12.6,8.5,34.5,22.2,37.1,36.5,22.2,39.5,15.2,35.9,6.5
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,1.2,0,1.2,1.2,0,1.2,0,,0,0,,0,9,34,2.5
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,.7000000000000001,0,.8,.7000000000000001,0,.8,7,,7,7,,7,17,50.2,5.2
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,.7000000000000001,0,.8,.7000000000000001,0,.8,6.800000000000001,,6.800000000000001,6.800000000000001,,6.800000000000001,16.6,49.1,5
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,0,0,0,0,0,0,0,,0,0,,0,6.4,21.2,1.4
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,7.600000000000001,32.7,2.8,7.800000000000001,32.7,2.9,38.7,100,14.8,38.7,100,14.8,15.8,45.90000000000001,5.4
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,7.600000000000001,33.8,2.7,8,34.6,2.8,38.6,100,14.2,39.1,100,14.2,15.3,45,5.2
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,7.800000000000001,71.10000000000001,.8,11,78.7,.8,37,100,0,46.90000000000001,100,0,6.600000000000001,25.1,2.1
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,5.800000000000001,0,5.800000000000001,5.800000000000001,0,5.800000000000001,37.4,,37.4,37.4,,37.4,15.7,29.4,8.4
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,5.600000000000001,0,5.600000000000001,5.600000000000001,0,5.600000000000001,36.8,0,37.4,36.8,0,37.4,15.5,29.4,8.300000000000001
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,1.2,0,1.3,1.2,0,1.3,8.300000000000001,0,50,8.300000000000001,0,50,9.800000000000001,27.8,3.7
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,0,0,0,0,0,0,0,0,0,0,0,0,21.7,34.7,13.4
