id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_wtr_t,hh_wtr_slm,hh_snt2_t,hh_snt2_slm,hh_snt_t,hh_snt_slm
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,90.2,,11.1,,10.8,
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,90.60000000000001,,15.5,,15,
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,93.90000000000001,91.40000000000001,53.2,43.3,52.2,42
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,90.2,,15.2,,14.8,
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,90.30000000000001,,17.9,,17.6,
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,91.80000000000001,85,53.5,47.40000000000001,52.90000000000001,47.3
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,89,,19.3,,18.5,
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,88.90000000000001,,20,,19.2,
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,87.80000000000001,79.7,36.8,20.6,36.3,20.4
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,81.90000000000001,,18.3,,17.8,
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,82.30000000000001,,20.4,,19.8,
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,91.40000000000001,89.90000000000001,59.90000000000001,67.40000000000001,59,65.7
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,82.60000000000001,,16.9,,16.2,
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,82.60000000000001,,18.1,,17.5,
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,83.90000000000001,87.90000000000001,55,26.3,54.3,25.6
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,93.60000000000001,,8.9,,8.300000000000001,
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,93.60000000000001,,10.6,,10,
