id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,asset_t,asset_slm,no_asset_t,no_asset_slm,hou_own,lan_own,lan_gini,lan_mld
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,.2,,22.1,,100,99.7,67.40000000000001,1.453
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,.4,,22.2,,98.5,99.7,68.7,1.507
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,2.1,1.2,22.6,27.6,83.40000000000001,100,76.2,1.611
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,.4,,17.9,,99.7,100,61.5,.8040000000000001
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,.6000000000000001,,17.7,,97.2,98.5,62.8,.91
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,3,4.2,15.3,17,49.3,69.90000000000001,74.90000000000001,1.928
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,.2,,24.9,,100,100,72.5,1.448
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,.3,,24.7,,99,100,72.7,1.445
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,1.4,.6000000000000001,19.2,23.9,74.5,100,63.2,.864
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,.3,,31,,99,99,80.5,1.848
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,.4,,30.5,,98.5,98.5,81.5,1.917
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,3.3,2.3,21.5,21,90.40000000000001,90.40000000000001,80.40000000000001,2.177
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,.4,,25.9,,99.10000000000001,100,83.2,2.024
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,.5,,25.8,,98.60000000000001,99.40000000000001,83.7,2.118
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,2.5,.4,22.7,41.8,85.10000000000001,85.10000000000001,94.10000000000001,3.549
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,.2,,31.8,,99.7,98.7,69,1.865
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,.2,,31.5,,96.90000000000001,97.10000000000001,70.2,2.058
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,1.6,.4,26,42.3,55.2,74,86,4.671
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,.2,,31.2,,100,100,69,1.354
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,.3,,30.7,,99.30000000000001,99.40000000000001,70.10000000000001,1.477
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,2.6,,22.9,,87.40000000000001,89.30000000000001,87.40000000000001,3.484
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,.1,,31.6,,100,100,69.60000000000001,1.836
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,.3,,30.9,,98.5,98.90000000000001,72.90000000000001,1.984
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,2.1,1.1,23.9,29.3,87.80000000000001,91.30000000000001,31,.197
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,.2,,35.3,,97.7,91.80000000000001,77.7,1.936
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,.7000000000000001,,33.8,,94.90000000000001,89.7,79.90000000000001,2.218
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,5,.7000000000000001,19.7,29.8,73.90000000000001,73.90000000000001,58,1.79
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,.2,,35.3,,100,96.90000000000001,71.10000000000001,2.053
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,.5,,34,,96.7,93.80000000000001,73.10000000000001,2.349
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,3.6,2.7,20.7,26.8,63.8,63.8,89.80000000000001,4.328
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,.2,,33.8,,100,100,63.1,1.196
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,.3,,33.6,,97.2,97.60000000000001,64.60000000000001,1.465
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,2.4,.1,28.6,44.3,40.6,45.8,87.60000000000001,4.823
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,.2,,39.90000000000001,,100,100,75.60000000000001,2.21
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,.5,,38.1,,98.90000000000001,98.90000000000001,76.90000000000001,2.283
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,3.7,1.9,17,21.3,84.7,84.7,57,1.296
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,.3,,30.1,,100,98.30000000000001,78.80000000000001,1.61
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,.6000000000000001,,29,,99,97.2,79.2,1.731
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,4,1.8,17.9,23.2,87.30000000000001,83.80000000000001,78,2.71
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,.6000000000000001,,20.7,,98.5,95.40000000000001,73.2,1.43
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,1.2,,19.8,,96.5,94.80000000000001,76.80000000000001,1.64
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,7.2,4.2,10.8,14.8,78.7,89.60000000000001,81.90000000000001,2.879
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,.7000000000000001,,9.300000000000001,,100,100,71.90000000000001,1.172
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,.8,,9.4,,99.60000000000001,99.7,72.10000000000001,1.186
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,3.8,.3,10.2,29.7,86.60000000000001,90.10000000000001,53.7,.727
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,.5,,11.3,,99.30000000000001,100,50.7,.465
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,.8,,11.2,,98.80000000000001,99.40000000000001,51.40000000000001,.49
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,4.5,,8.800000000000001,,89,86.30000000000001,59.1,.783
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,.5,,14.6,,100,99.90000000000001,70.90000000000001,1.231
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,.8,,14.5,,98.80000000000001,99.7,71.10000000000001,1.24
