id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ap,area,area_bu,area_lit,at,bank_t,cm,cr_s,dens,dens_bu,dens_lit,edu_lit_7_f,edu_lit_7_m,edu_lit_7_t,emp_7_f,emp_7_m,emp_7_t,emp_cwg_f,emp_cwg_m,emp_cwg_t,emp_fmr_f,emp_fmr_m,emp_fmr_t,emp_rwg_f,emp_rwg_m,emp_rwg_t,emp_slf_f,emp_slf_m,emp_slf_t,fo_s,gdp,gdp_pc,nd,ntl_a,ntl_pc,pop,pop_bu,pop_lit,ppl_room_t,sgdp_s1,sgdp_s10,sgdp_s11,sgdp_s2,sgdp_s3,sgdp_s4,sgdp_s5,sgdp_s6,sgdp_s7,sgdp_s8,sgdp_s9,wkp_7_f,wkp_7_m,wkp_7_t,yieldp_sel1,yieldp_sel2,yieldp_sel3,yieldp_sel4,yieldp_sel5,yieldp_sel6,yieldp_sel7,yieldvus_sel1,yieldvus_sel2,yieldvus_sel3,yieldvus_sel4,yieldvus_sel5,yieldvus_sel6,yieldvus_sel7
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,NA,5150.0,5212.0,5237.0,NA,11.1,NA,NA,531.0,0.52,0.52,21.9,48.5,36.0,32.4,65.3,49.8,80.4,58.8,65.4,13.7,26.3,22.4,3.6,12.5,9.8,2.4,2.4,2.4,NA,NA,NA,NA,0.33,0.66,2734.0,2686.0,2742.0,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7,78.9,78.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,11.8,5244.0,5244.0,5244.0,0.49,12.9,104.0,73.3,580.0,531.0,531.0,25.2,51.1,38.90000000000001,30.2,64.10000000000001,48.2,79.2,55.3,62.3,13.4,24.7,21.4,4.800000000000001,17.5,13.7,2.7,2.6,2.6,0.8,377.0,129.0,134.0,0.47,0.88,3043.0,2787.0,2787.0,3.2,52.6,5.2,12.7,0.1,8.3,1.1,3.8,2.8,4.3,4.800000000000001,4.3,78.10000000000001,79.30000000000001,78.7,1.4,0.96,2.1,48.40000000000001,2.7,2.1,NA,0.45,0.9400000000000001,0.86,2.9,0.85,0.51,NA
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,NA,94.0,32.0,7.600000000000001,NA,30.2,NA,NA,3293.0,3150.0,5967.0,53.3,72.4,63.5,11.7,54.7,34.6,50.40000000000001,19.7,24.5,6.300000000000001,8.4,8.1,32.4,67.4,61.90000000000001,10.9,4.5,5.5,NA,NA,NA,NA,8.0,3.4,310.0,101.0,45.6,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.10000000000001,82.2,81.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,NA,3922.0,3966.0,3977.0,NA,14.9,NA,NA,922.0,0.87,0.88,22.0,47.40000000000001,35.4,19.6,62.3,42.2,72.5,52.2,56.7,18.3,31.1,28.3,5.300000000000001,14.3,12.3,3.9,2.4,2.7,NA,NA,NA,NA,0.62,0.73,3617.0,3462.0,3490.0,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.0,78.9,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,12.3,3997.0,3997.0,3997.0,0.5700000000000001,16.5,107.0,96.30000000000001,966.0,891.0,891.0,24.3,49.3,37.5,18.8,61.6,41.5,71.5,50.2,54.8,18.0,29.7,27.2,6.2,17.6,15.2,4.2,2.4,2.8,0.1,401.0,106.0,172.0,0.78,0.87,3860.0,3562.0,3562.0,3.2,50.8,6.7,17.1,0.0,7.600000000000001,0.9,3.6,2.8,5.7,0.9,3.9,78.30000000000001,79.2,78.7,1.2,1.1,1.3,42.90000000000001,2.3,2.1,NA,0.35,1.1,0.55,2.6,0.71,0.5,NA
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,NA,75.0,30.5,19.6,NA,41.3,NA,NA,3247.0,3277.0,3661.0,57.2,75.5,67.10000000000001,7.5,51.5,31.4,34.3,17.3,19.1,5.7,6.4,6.4,43.1,73.7,70.3,16.9,2.6,4.2,NA,NA,NA,NA,8.700000000000001,3.1,243.0,100.0,71.8,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.7,83.0,82.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,NA,437.0,446.0,447.0,NA,9.1,NA,NA,1132.0,0.88,0.88,23.6,44.90000000000001,34.9,12.4,63.1,39.40000000000001,70.9,60.7,62.2,15.1,28.1,26.2,9.3,9.4,9.4,4.600000000000001,1.8,2.2,NA,NA,NA,NA,0.15,0.18,495.0,393.0,394.0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.0,79.7,79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,15.3,447.0,447.0,447.0,0.54,9.5,108.0,99.2,1154.0,880.0,880.0,23.9,45.3,35.3,12.4,63.1,39.40000000000001,70.0,59.90000000000001,61.3,15.0,27.4,25.6,10.2,10.8,10.7,4.800000000000001,1.9,2.3,0.0,38.3,78.0,169.0,0.28,0.32,516.0,394.0,394.0,3.1,53.8,7.9,19.2,0.0,5.0,0.7000000000000001,3.7,1.0,2.7,2.3,3.7,79.0,79.7,79.4,1.6,0.75,1.3,36.6,1.9,2.6,NA,0.45,0.72,0.55,2.2,0.58,0.63,NA
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,NA,10.2,1.2,0.0,NA,17.7,NA,NA,2079.0,312.0,NA,31.2,54.5,43.7,11.7,61.6,38.40000000000001,47.7,40.0,41.1,13.1,10.1,10.5,30.4,45.3,43.2,8.8,4.600000000000001,5.2,NA,NA,NA,NA,5.800000000000001,4.2,21.3,0.36,0.0,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.30000000000001,79.7,79.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,NA,2119.0,2135.0,2145.0,NA,11.8,NA,NA,1194.0,0.92,0.92,24.3,47.7,36.7,14.7,63.8,40.7,66.60000000000001,55.40000000000001,57.3,16.9,26.7,25.0,9.4,15.4,14.4,7.100000000000001,2.6,3.3,NA,NA,NA,NA,0.77,0.86,2529.0,1956.0,1969.0,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.7,79.4,79.10000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
