Variable,Description
a_dec_pre_1,Precipitation anomaly - Jan (millimeters)
a_dec_pre_10,Precipitation anomaly - Oct (millimeters)
a_dec_pre_11,Precipitation anomaly - Nov (millimeters)
a_dec_pre_12,Precipitation anomaly - Dec (millimeters)
a_dec_pre_2,Precipitation anomaly - Feb (millimeters)
a_dec_pre_3,Precipitation anomaly - Mar (millimeters)
a_dec_pre_4,Precipitation anomaly - Apr (millimeters)
a_dec_pre_5,Precipitation anomaly - May (millimeters)
a_dec_pre_6,Precipitation anomaly - Jun (millimeters)
a_dec_pre_7,Precipitation anomaly - Jul (millimeters)
a_dec_pre_8,Precipitation anomaly - Aug (millimeters)
a_dec_pre_9,Precipitation anomaly - Sep (millimeters)
a_dec_tmp_1,Temperature anomaly - Jan (Co)
a_dec_tmp_10,Temperature anomaly - Oct (Co)
a_dec_tmp_11,Temperature anomaly - Nov (Co)
a_dec_tmp_12,Temperature anomaly - Dec (Co)
a_dec_tmp_2,Temperature anomaly - Feb (Co)
a_dec_tmp_3,Temperature anomaly - Mar (Co)
a_dec_tmp_4,Temperature anomaly - Apr (Co)
a_dec_tmp_5,Temperature anomaly - May (Co)
a_dec_tmp_6,Temperature anomaly - Jun (Co)
a_dec_tmp_7,Temperature anomaly - Jul (Co)
a_dec_tmp_8,Temperature anomaly - Aug (Co)
a_dec_tmp_9,Temperature anomaly - Sep (Co)
ac_irr,Land area actually irrigated (percent of land area)
anc,Three ante-natal care visits (percent of population group)
ap,Aerosol particle radius (percent of small particles)
area,Area (sq. km.)
area_bu,Area (sq. km.)
area_lit,Area (sq. km.)
at,Aerosol optical thickness (thickness scale  0–1 )
bank_slm,"Households' access to banking services, in slums (percent of households)"
bank_t,"Households' access to banking services, total (percent of households)"
bmas_ins_slm,"Households use biomass to cook indoors,slums(percent of households)"
bmas_ins_t,Households use biomass to cook indoors(percent of households)
c_oper_t,Mineral production capacity  (million metric tons per year )
cbr_t,"Crude birth rate, total (live births per 1000 people)"
cdr_f,"Crude death rate, female (deaths per 1000 people)"
cdr_m,"Crude death rate, male (deaths per 1000 people)"
cdr_t,"Crude death rate, total (deaths per 1000 people)"
cls_good_pri,Classrooms in good condition in primary schools (percent of classrooms)
cm,Carbon monoxide levels (parts per billion by volume)
cond,Female use of condom (percent of population group)
cr_s,Cropland (percent of area)
dens,Population density (people per sq. km.)
dens_bu,Population density (people per sq. km.)
dens_lit,Population density (people per sq. km.)
dep_rat_014,"Dependency ratio, 0-14 years (percent)"
dep_rat_ag,"Dependency ratio, 65+ years (percent)"
dep_rat_t,"Dependency ratio, 0-14 or 65+ years (percent)"
di_e_2,"Diversification index of Non-agr. enterprises, ISIC 3.1 -2 digit(index)"
di_e_4,"Diversification index of Non-agr. enterprises, ISIC 3.1 -4 digit(index)"
dpt,DPT immunization (percent of population group)
drrh,Diarrhea treatment (percent of population group)
e,Non-agr. enterprises   (thousands)
e_elc_pr,"Non-agriculture enterprises' use of electricity,private(percent of establishment"
e_elc_pu,"Non-agriculture enterprises' use of electricity,public(percent of establishments"
e_elc_t,"Non-agriculture enterprises' use of electricity,total(percent of establishments)"
e_fin1,Non-agr. enter.’ fin. serv.-No finance/self-finance(percent of est.)
e_fin2,Non-agr. enter.’ fin. serv.-Assist. from gov. sources(percent of est.)
e_fin3,Non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.)
e_fin4,Non-agr. enter.’ fin. serv.-Borrow from non-fin. inst.(percent of est.)
e_fin5,"Non-agr. enter.’ fin. serv.-Others (NGOs, etc.)(percent of est.)"
e_own1,Non-agr. enterprises by ownership -Private(percent of establishments)
e_own2,Non-agr. enterprises by ownership -Public(percent of establishments)
e_pr_fin1,Priv. non-agr. enter.’ fin. serv.-No finance/self-finance(percent of est.)
e_pr_fin2,Priv. non-agr. enter.’ fin. serv.-Assist. from gov. sources(percent of est.)
e_pr_fin3,Priv. non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.)
e_pr_fin4,Priv. non-agr. enter.’ fin. serv.-Borrow from non-fin. inst.(percent of est.)
e_pr_fin5,"Priv. non-agr. enter.’ fin. serv.-Others (NGOs, etc.)(percent of est.)"
e_s1,"Non-agr. by sect.,ISIC3.1-Mining and quarrying(C)(percent of est.)"
e_s10,"Non-agr. by sect.,ISIC3.1-Education,health and social(M, N, O)(percent of est.)"
e_s2,"Non-agr. by sect.,ISIC3.1-Manufacturing(D)(percent of est.)"
e_s3,"Non-agr. by sect.,ISIC3.1-Electricity,gas and water supply(E)(percent of est.)"
e_s4,"Non-agr. by sect.,ISIC3.1-Construction(F)(percent of est.)"
e_s5,"Non-agr. by sect.,ISIC3.1-Trade,hotels and restaurants(G, H)(percent of est.)"
e_s6,"Non-agr. by sect.,ISIC3.1-Trans.,storage and communications.(I)(percent of est.)"
e_s7,"Non-agr. by sect.,ISIC3.1-Financial intermediation(J)(percent of est.)"
e_s8,"Non-agr. by sect.,ISIC3.1-Real estate & business activities (K)(percent of est.)"
e_s9,"Non-agr. by sect.,ISIC3.1-Public administration(L)(percent of est.)"
e_z1,Non-agr. enterprises by size -1(percent of establishments)
e_z2,Non-agr. enterprises by size -2-5(percent of establishments)
e_z3,Non-agr. enterprises by size -6-9(percent of establishments)
e_z4,Non-agr. enterprises by size -10-19(percent of establishments)
e_z5,Non-agr. enterprises by size -20-99(percent of establishments)
e_z6,Non-agr. enterprises by size -100+(percent of establishments)
ear_agr,"Labor earnings by sector,Agriculture(current USD per day)"
ear_f,"Labor earnings by gender,Female(current USD per day)"
ear_ind,"Labor earnings by sector,Industry(current USD per day)"
ear_m,"Labor earnings by gender,Male(current USD per day)"
ear_sev,"Labor earnings by sector,Services(current USD per day)"
ear_t,"Labor earnings by gender,Total(current USD per day)"
edu_lit_15_f,"Literacy rate,15+ years,female(percent of population group)"
edu_lit_15_m,"Literacy rate,15+ years,male(percent of population group)"
edu_lit_15_t,"Literacy rate,15+ years,total(percent of population group)"
edu_lit_7_f,"Literacy rate,7+ years,female(percent of population group)"
edu_lit_7_m,"Literacy rate,7+ years,male(percent of population group)"
