Variable,Description,in2001,in2011
a_dec_pre_1,Precipitation anomaly - Jan (millimeters),1,1
a_dec_pre_10,Precipitation anomaly - Oct (millimeters),1,1
a_dec_pre_11,Precipitation anomaly - Nov (millimeters),1,1
a_dec_pre_12,Precipitation anomaly - Dec (millimeters),1,1
a_dec_pre_2,Precipitation anomaly - Feb (millimeters),1,1
a_dec_pre_3,Precipitation anomaly - Mar (millimeters),1,1
a_dec_pre_4,Precipitation anomaly - Apr (millimeters),1,1
a_dec_pre_5,Precipitation anomaly - May (millimeters),1,1
a_dec_pre_6,Precipitation anomaly - Jun (millimeters),1,1
a_dec_pre_7,Precipitation anomaly - Jul (millimeters),1,1
a_dec_pre_8,Precipitation anomaly - Aug (millimeters),1,1
a_dec_pre_9,Precipitation anomaly - Sep (millimeters),1,1
a_dec_tmp_1,Temperature anomaly - Jan (Co),1,1
a_dec_tmp_10,Temperature anomaly - Oct (Co),1,1
a_dec_tmp_11,Temperature anomaly - Nov (Co),1,1
a_dec_tmp_12,Temperature anomaly - Dec (Co),1,1
a_dec_tmp_2,Temperature anomaly - Feb (Co),1,1
a_dec_tmp_3,Temperature anomaly - Mar (Co),1,1
a_dec_tmp_4,Temperature anomaly - Apr (Co),1,1
a_dec_tmp_5,Temperature anomaly - May (Co),1,1
a_dec_tmp_6,Temperature anomaly - Jun (Co),1,1
a_dec_tmp_7,Temperature anomaly - Jul (Co),1,1
a_dec_tmp_8,Temperature anomaly - Aug (Co),1,1
a_dec_tmp_9,Temperature anomaly - Sep (Co),1,1
ac_irr,Land area actually irrigated (percent of land area),1,1
anc,Three ante-natal care visits (percent of population group),0,1
ap,Aerosol particle radius (percent of small particles),1,1
area,Area (sq. km.),1,1
area_bu,Area (sq. km.),1,1
area_lit,Area (sq. km.),1,1
at,Aerosol optical thickness (thickness scale  0–1 ),1,1
bank_slm,"Households' access to banking services, in slums (percent of households)",0,1
bank_t,"Households' access to banking services, total (percent of households)",1,1
bmas_ins_slm,"Households use biomass to cook indoors,slums(percent of households)",0,1
bmas_ins_t,Households use biomass to cook indoors(percent of households),0,1
c_oper_t,Mineral production capacity  (million metric tons per year ),1,1
cbr_t,"Crude birth rate, total (live births per 1000 people)",0,1
cdr_f,"Crude death rate, female (deaths per 1000 people)",0,1
cdr_m,"Crude death rate, male (deaths per 1000 people)",0,1
cdr_t,"Crude death rate, total (deaths per 1000 people)",0,1
cls_good_pri,Classrooms in good condition in primary schools (percent of classrooms),0,1
cm,Carbon monoxide levels (parts per billion by volume),1,1
cond,Female use of condom (percent of population group),0,1
cr_s,Cropland (percent of area),1,1
dens,Population density (people per sq. km.),1,1
dens_bu,Population density (people per sq. km.),1,1
dens_lit,Population density (people per sq. km.),1,1
dep_rat_014,"Dependency ratio, 0-14 years (percent)",1,1
dep_rat_ag,"Dependency ratio, 65+ years (percent)",1,1
dep_rat_t,"Dependency ratio, 0-14 or 65+ years (percent)",1,1
di_e_2,"Diversification index of Non-agr. enterprises, ISIC 3.1 -2 digit(index)",0,1
di_e_4,"Diversification index of Non-agr. enterprises, ISIC 3.1 -4 digit(index)",0,1
dpt,DPT immunization (percent of population group),0,1
drrh,Diarrhea treatment (percent of population group),0,1
e,Non-agr. enterprises   (thousands),0,1
e_elc_pr,"Non-agriculture enterprises' use of electricity,private(percent of establishment",0,1
e_elc_pu,"Non-agriculture enterprises' use of electricity,public(percent of establishments",0,1
e_elc_t,"Non-agriculture enterprises' use of electricity,total(percent of establishments)",0,1
e_fin1,Non-agr. enter.’ fin. serv.-No finance/self-finance(percent of est.),0,1
e_fin2,Non-agr. enter.’ fin. serv.-Assist. from gov. sources(percent of est.),0,1
e_fin3,Non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),0,1
