distt_id55,spatialId,state,district
2701,3_35_640_0,A  & N Islands,Andaman
2702,3_35_638_0,A  & N Islands,Nicobar
219,3_28_532_0,Andhra Pradesh,Adilabad
212,3_28_553_0,Andhra Pradesh,Anantpur
210,3_28_554_0,Andhra Pradesh,Chittoor
211,3_28_551_0,Andhra Pradesh,Cuddapah
204,3_28_545_0,Andhra Pradesh,East Godavari
207,3_28_548_0,Andhra Pradesh,Guntur
216,3_28_536_0,Andhra Pradesh,Hyderabad
220,3_28_534_0,Andhra Pradesh,Karimnagar
222,3_28_541_0,Andhra Pradesh,Khammam
206,3_28_547_0,Andhra Pradesh,Krishna
213,3_28_552_0,Andhra Pradesh,Kurnool
214,3_28_538_0,Andhra Pradesh,Mahbubnagar
217,3_28_535_0,Andhra Pradesh,Medak
223,3_28_539_0,Andhra Pradesh,Nalgonda
209,3_28_550_0,Andhra Pradesh,Nellore
218,3_28_533_0,Andhra Pradesh,Nizamabad
208,3_28_549_0,Andhra Pradesh,Prakasam
215,3_28_537_0,Andhra Pradesh,Rangareddy
201,3_28_542_0,Andhra Pradesh,Srikakulam
203,3_28_544_0,Andhra Pradesh,Vishakhapatnam
202,3_28_543_0,Andhra Pradesh,Vizianagaram
221,3_28_540_0,Andhra Pradesh,Warangal
205,3_28_546_0,Andhra Pradesh,West Godavari
311,3_12_253_0,Arunachal Pradesh,Changlong
308,3_12_258_0,Arunachal Pradesh,Dibang Valley
303,3_12_247_1,Arunachal Pradesh,East Kameng
307,3_12_251_0,Arunachal Pradesh,East Siang
309,3_12_259_0,Arunachal Pradesh,Lohit
304,3_12_255_1,Arunachal Pradesh,Lower Subansiri
301,3_12_245_1,Arunachal Pradesh,Tawang
310,3_12_254_0,Arunachal Pradesh,Tirap
305,3_12_249_1,Arunachal Pradesh,Upper Subansiri
302,3_12_246_1,Arunachal Pradesh,West Kameng
306,3_12_250_0,Arunachal Pradesh,West Siang
403,3_18_319_0,Assam,Bangaigaon
405,3_18_303_0,Assam,Barpeta
423,3_18_316_0,Assam,Cachar
408,3_18_325_0,Assam,Darrang
411,3_18_308_0,Assam,Dhemaji
401,3_18_301_0,Assam,Dhubri
417,3_18_310_0,Assam,Dibrugarh
404,3_18_302_0,Assam,Goalpara
414,3_18_313_0,Assam,Golaghat
422,3_18_318_0,Assam,Hailakandi
415,3_18_312_0,Assam,Jorhat
407,3_18_321_0,Assam,Kamrup
419,3_18_314_0,Assam,Karbiaglong
421,3_18_317_0,Assam,Karimganj
402,3_18_300_0,Assam,Kokrajhar
410,3_18_307_0,Assam,Lakhimpur
412,3_18_304_0,Assam,Morigaon
406,3_18_323_0,Assam,Nalbari
420,3_18_315_0,Assam,North Cachar Hills
413,3_18_305_0,Assam,Nowgong
416,3_18_311_0,Assam,Sibsagar
409,3_18_306_0,Assam,Sonitpur
418,3_18_309_0,Assam,Tinsukia
541,3_10_209_0,Bihar,Araria
505,3_10_235_0,Bihar,Aurangabad
547,3_10_225_0,Bihar,Banka
517,3_10_222_0,Bihar,Begusarai
527,3_10_224_0,Bihar,Bhagalpur
503,3_10_231_0,Bihar,Bhojpur
549,3_20_355_0,Bihar,Bokaro
543,3_10_232_0,Bihar,Buxar
551,3_20_347_0,Bihar,Chatra
519,3_10_215_0,Bihar,Darbhanga
531,3_20_350_0,Bihar,Deoghar
532,3_20_354_0,Bihar,Dhanbad
530,3_20_362_0,Bihar,Dumka
513,3_10_204_0,Bihar,East Champaran
552,3_20_346_0,Bihar,Garhwa
507,3_10_236_0,Bihar,Gaya
533,3_20_349_0,Bihar,Giridih
528,3_20_351_0,Bihar,Godda
511,3_10_217_0,Bihar,Gopalganj
537,3_20_366_0,Bihar,Gumla
534,3_20_360_0,Bihar,Hazaribagh
546,3_10_238_0,Bihar,Jamui
506,3_10_239_0,Bihar,Jehanabad
544,3_10_233_0,Bihar,Kaimur (Bhabua)
524,3_10_212_0,Bihar,Katihar
525,3_10_223_0,Bihar,Khagaria
542,3_10_210_0,Bihar,Kishanganj
550,3_20_348_0,Bihar,Kodarma
536,3_20_356_0,Bihar,Lohardaga
522,3_10_213_0,Bihar,Madhepura
520,3_10_207_0,Bihar,Madhubani
526,3_10_226_0,Bihar,Munger
515,3_10_216_0,Bihar,Muzaffarpur
502,3_10_229_0,Bihar,Nalanda
508,3_10_237_0,Bihar,Nawada
548,3_20_353_0,Bihar,Pakur
535,3_20_358_0,Bihar,Palamu
540,3_20_368_0,Bihar,Pashchimi singhbhum
501,3_10_230_0,Bihar,Patna
539,3_20_357_0,Bihar,Purbi Singhbhum
523,3_10_211_0,Bihar,Purnea
538,3_20_364_0,Bihar,Ranchi
504,3_10_234_0,Bihar,Rohtas
521,3_10_214_0,Bihar,Saharsa
529,3_20_352_0,Bihar,Sahibaganj
518,3_10_221_0,Bihar,Samastipur
509,3_10_219_0,Bihar,Saran
514,3_10_206_0,Bihar,Sitamarhi
510,3_10_218_0,Bihar,Siwan
545,3_10_208_0,Bihar,Supaul
516,3_10_220_0,Bihar,Vaishali
512,3_10_203_0,Bihar,West Champaran
2801,3_4_55_0,Chandigarh,Chandigarh
2901,3_26_496_0,Dadra & Nagar Haveli,Dadra & Nagar Haveli
3001,3_25_495_0,Daman & Diu,Daman
3002,3_25_494_0,Daman & Diu,Diu
3101,3_7_94_0,Delhi,Delhi
601,3_30_585_0,Goa,North Goa
602,3_30_586_0,Goa,South Goa
712,3_24_474_0,Gujarat,Ahmedabad
705,3_24_480_0,Gujarat,Amreli
