spatialId,distt_id55,spatialState,spatialDistrict,state,district,finalId
3_35_638_0,2702,Andaman & Nicobar Islands,Nicobars,A  & N Islands,Nicobar,3_35_638_0
3_35_639_0,NA,Andaman & Nicobar Islands,North  & Middle Andaman,NA,NA,NA
3_35_640_0,2701,Andaman & Nicobar Islands,South Andaman,A  & N Islands,Andaman,3_35_640_0
3_28_532_0,219,Andhra Pradesh,Adilabad,Andhra Pradesh,Adilabad,3_28_532_0
3_28_553_0,212,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantpur,3_28_553_0
3_28_554_0,210,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,3_28_554_0
3_28_545_0,204,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,3_28_545_0
3_28_548_0,207,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,3_28_548_0
3_28_536_0,216,Andhra Pradesh,Hyderabad,Andhra Pradesh,Hyderabad,3_28_536_0
3_28_534_0,220,Andhra Pradesh,Karimnagar,Andhra Pradesh,Karimnagar,3_28_534_0
3_28_541_0,222,Andhra Pradesh,Khammam,Andhra Pradesh,Khammam,3_28_541_0
3_28_547_0,206,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,3_28_547_0
3_28_552_0,213,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,3_28_552_0
3_28_538_0,214,Andhra Pradesh,Mahbubnagar,Andhra Pradesh,Mahbubnagar,3_28_538_0
3_28_535_0,217,Andhra Pradesh,Medak,Andhra Pradesh,Medak,3_28_535_0
3_28_539_0,223,Andhra Pradesh,Nalgonda,Andhra Pradesh,Nalgonda,3_28_539_0
3_28_533_0,218,Andhra Pradesh,Nizamabad,Andhra Pradesh,Nizamabad,3_28_533_0
3_28_549_0,208,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,3_28_549_0
3_28_537_0,215,Andhra Pradesh,Rangareddy,Andhra Pradesh,Rangareddy,3_28_537_0
3_28_550_0,209,Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh,Nellore,3_28_550_0
3_28_542_0,201,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,3_28_542_0
3_28_544_0,203,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Vishakhapatnam,3_28_544_0
3_28_543_0,202,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,3_28_543_0
3_28_540_0,221,Andhra Pradesh,Warangal,Andhra Pradesh,Warangal,3_28_540_0
