spatialId,finalId,spatialState,spatialDistrict,state,district,note,distt_id50
3_35_639_0,3_35_638_0,Andaman & Nicobar Islands,North  & Middle Andaman,NA,NA,2006-08-18: Andaman Islands district divided into North and Middle Andaman district and South Andaman district.,NA
3_35_640_0,3_35_640_0,Andaman & Nicobar Islands,South Andaman,A  & N Islands,ANDAMAN,2006-08-18: Andaman Islands district divided into North and Middle Andaman district and South Andaman district.,NA
3_35_638_0,3_35_638_0,Andaman & Nicobar Islands,Nicobars,A  & N Islands,NICOBAR,NA,2702
3_28_532_0,3_28_532_0,Andhra Pradesh,Adilabad,Andhra Pradesh,ADILABAD,NA,219
3_28_553_0,3_28_553_0,Andhra Pradesh,Anantapur,Andhra Pradesh,ANANTPUR,NA,NA
3_28_554_0,3_28_554_0,Andhra Pradesh,Chittoor,Andhra Pradesh,CHITTOOR,NA,NA
3_28_545_0,3_28_545_0,Andhra Pradesh,East Godavari,Andhra Pradesh,EAST GODAVARI,NA,NA
3_28_548_0,3_28_548_0,Andhra Pradesh,Guntur,Andhra Pradesh,GUNTUR,NA,207
3_28_536_0,3_28_536_0,Andhra Pradesh,Hyderabad,Andhra Pradesh,HYDERABAD,NA,NA
3_28_534_0,3_28_534_0,Andhra Pradesh,Karimnagar,Andhra Pradesh,KARIMNAGAR,NA,220
3_28_541_0,3_28_541_0,Andhra Pradesh,Khammam,Andhra Pradesh,KHAMMAM,NA,222
3_28_547_0,3_28_547_0,Andhra Pradesh,Krishna,Andhra Pradesh,KRISHNA,NA,206
3_28_552_0,3_28_552_0,Andhra Pradesh,Kurnool,Andhra Pradesh,KURNOOL,NA,213
3_28_538_0,3_28_538_0,Andhra Pradesh,Mahbubnagar,Andhra Pradesh,MAHBUBNAGAR,NA,214
3_28_535_0,3_28_535_0,Andhra Pradesh,Medak,Andhra Pradesh,MEDAK,NA,217
3_28_539_0,3_28_539_0,Andhra Pradesh,Nalgonda,Andhra Pradesh,NALGONDA,NA,223
3_28_533_0,3_28_533_0,Andhra Pradesh,Nizamabad,Andhra Pradesh,NIZAMABAD,NA,218
3_28_549_0,3_28_549_0,Andhra Pradesh,Prakasam,Andhra Pradesh,PRAKASAM,NA,NA
3_28_537_0,3_28_537_0,Andhra Pradesh,Rangareddy,Andhra Pradesh,RANGAREDDY,NA,215
3_28_550_0,3_28_550_0,Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh,NELLORE,NA,209
3_28_542_0,3_28_542_0,Andhra Pradesh,Srikakulam,Andhra Pradesh,SRIKAKULAM,NA,NA
3_28_544_0,3_28_544_0,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,VISHAKHAPATNAM,NA,NA
3_28_543_0,3_28_543_0,Andhra Pradesh,Vizianagaram,Andhra Pradesh,VIZIANAGARAM,NA,NA
3_28_540_0,3_28_540_0,Andhra Pradesh,Warangal,Andhra Pradesh,WARANGAL,NA,NA
3_28_546_0,3_28_546_0,Andhra Pradesh,West Godavari,Andhra Pradesh,WEST GODAVARI,NA,NA
3_28_551_0,3_28_551_0,Andhra Pradesh,Y.S.R.,Andhra Pradesh,CUDDAPAH,NA,211
3_12_251_0,3_12_251_0,Arunachal Pradesh,East Siang,Arunachal Pradesh,EAST SIANG,~1999:  Upper Siang district split from East Siang.,307
3_12_248_0,3_12_255_1,Arunachal Pradesh,Papum Pare,NA,NA,~1999: Papum Pare district split from Lower Subansiri; 2000-04-01: Kurung Kumey district split from Lower Subansiri.,NA
3_12_258_0,3_12_258_0,Arunachal Pradesh,Lower Dibang Valley,Arunachal Pradesh,DIBANG VALLEY,2001-12-16: Dibang Valley district split into Lower Dibang Valley and Upper Dibang Valley.,308
3_12_260_0,3_12_259_0,Arunachal Pradesh,Anjaw,NA,NA,2004-02-16: Anjaw district split from Lohit.,NA
3_12_259_0,3_12_259_0,Arunachal Pradesh,Lohit,Arunachal Pradesh,LOHIT,2004-02-16: Anjaw district split from Lohit.,309
3_12_253_0,3_12_253_0,Arunachal Pradesh,Changlang,Arunachal Pradesh,CHANGLONG,NA,NA
3_12_254_0,3_12_254_0,Arunachal Pradesh,Tirap,Arunachal Pradesh,TIRAP,NA,NA
3_12_250_0,3_12_250_0,Arunachal Pradesh,West Siang,Arunachal Pradesh,WEST SIANG,NA,306
3_18_324_0,3_18_303_0,Assam,Baksa,NA,NA,"2003-02-03: Kamrup Metropolitan district split from Kamrup; 2004-06-01: Baksa district formed from parts of Barpeta, Nalbari, and Kamrup.;2004-06-04: Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",NA
3_18_303_0,3_18_303_0,Assam,Barpeta,Assam,BARPETA,"2003-02-03: Kamrup Metropolitan district split from Kamrup; 2004-06-01: Baksa district formed from parts of Barpeta, Nalbari, and Kamrup.;2004-06-04: Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",NA
3_18_319_0,3_18_303_0,Assam,Bongaigaon,Assam,BANGAIGAON,"2003-02-03: Kamrup Metropolitan district split from Kamrup; 2004-06-01: Baksa district formed from parts of Barpeta, Nalbari, and Kamrup.;2004-06-04: Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",NA
3_18_320_0,3_18_303_0,Assam,Chirang,NA,NA,"2003-02-03: Kamrup Metropolitan district split from Kamrup; 2004-06-01: Baksa district formed from parts of Barpeta, Nalbari, and Kamrup.;2004-06-04: Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",NA
3_18_321_0,3_18_303_0,Assam,Kamrup,Assam,KAMRUP,"2003-02-03: Kamrup Metropolitan district split from Kamrup; 2004-06-01: Baksa district formed from parts of Barpeta, Nalbari, and Kamrup.;2004-06-04: Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",407
3_18_322_0,3_18_303_0,Assam,Kamrup Metropolitan,NA,NA,"2003-02-03: Kamrup Metropolitan district split from Kamrup; 2004-06-01: Baksa district formed from parts of Barpeta, Nalbari, and Kamrup.;2004-06-04: Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",NA
3_18_300_0,3_18_303_0,Assam,Kokrajhar,Assam,KOKRAJHAR,"2003-02-03: Kamrup Metropolitan district split from Kamrup; 2004-06-01: Baksa district formed from parts of Barpeta, Nalbari, and Kamrup.;2004-06-04: Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",402
3_18_323_0,3_18_303_0,Assam,Nalbari,Assam,NALBARI,"2003-02-03: Kamrup Metropolitan district split from Kamrup; 2004-06-01: Baksa district formed from parts of Barpeta, Nalbari, and Kamrup.;2004-06-04: Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",406
3_18_325_0,3_18_325_0,Assam,Darrang,Assam,DARRANG,2004-06-14: Udalguri district formed from parts of Darrang and Sonitpur.,NA
3_18_306_0,3_18_325_0,Assam,Sonitpur,Assam,SONITPUR,2004-06-14: Udalguri district formed from parts of Darrang and Sonitpur.,409
3_18_326_0,3_18_325_0,Assam,Udalguri,NA,NA,2004-06-14: Udalguri district formed from parts of Darrang and Sonitpur.,NA
3_18_316_0,3_18_316_0,Assam,Cachar,Assam,CACHAR,NA,423
3_18_308_0,3_18_308_0,Assam,Dhemaji,Assam,DHEMAJI,NA,411
3_18_301_0,3_18_301_0,Assam,Dhubri,Assam,DHUBRI,NA,401
3_18_310_0,3_18_310_0,Assam,Dibrugarh,Assam,DIBRUGARH,NA,417
3_18_315_0,3_18_315_0,Assam,Dima Hasao,Assam,NORTH CACHAR HILLS,NA,NA
3_18_302_0,3_18_302_0,Assam,Goalpara,Assam,GOALPARA,NA,404
3_18_313_0,3_18_313_0,Assam,Golaghat,Assam,GOLAGHAT,NA,414
3_18_318_0,3_18_318_0,Assam,Hailakandi,Assam,HAILAKANDI,NA,NA
3_18_312_0,3_18_312_0,Assam,Jorhat,Assam,JORHAT,NA,415
3_18_314_0,3_18_314_0,Assam,Karbi Anglong,Assam,KARBIAGLONG,NA,NA
3_18_317_0,3_18_317_0,Assam,Karimganj,Assam,KARIMGANJ,NA,421
3_18_307_0,3_18_307_0,Assam,Lakhimpur,Assam,LAKHIMPUR,NA,410
3_18_304_0,3_18_304_0,Assam,Morigaon,Assam,MORIGAON,NA,NA
3_18_305_0,3_18_305_0,Assam,Nagaon,Assam,NOWGONG,NA,NA
3_18_311_0,3_18_311_0,Assam,Sivasagar,Assam,SIBSAGAR,NA,416
3_18_309_0,3_18_309_0,Assam,Tinsukia,Assam,TINSUKIA,NA,418
3_10_238_0,3_10_238_0,Bihar,Jamui,Bihar,JAMUI,"~1999: Jamui, Lakhisarai, and Sheikhpura districts split from Munger;",NA
3_10_227_0,3_10_238_0,Bihar,Lakhisarai,NA,NA,"~1999: Jamui, Lakhisarai, and Sheikhpura districts split from Munger;",NA
3_10_228_0,3_10_238_0,Bihar,Sheikhpura,NA,NA,"~1999: Jamui, Lakhisarai, and Sheikhpura districts split from Munger;",NA
3_10_205_0,3_10_206_0,Bihar,Sheohar,NA,NA,1994: Sheohar district split from Sitamarhi.,NA
3_10_206_0,3_10_206_0,Bihar,Sitamarhi,Bihar,SITAMARHI,1994: Sheohar district split from Sitamarhi.,514
3_10_240_0,3_10_239_0,Bihar,Arwal,NA,NA,2001-08-20: Arwal district split from Jehanabad.,NA
3_10_239_0,3_10_239_0,Bihar,Jehanabad,Bihar,JEHANABAD,2001-08-20: Arwal district split from Jehanabad.,506
3_10_209_0,3_10_209_0,Bihar,Araria,Bihar,ARARIA,NA,NA
3_10_235_0,3_10_235_0,Bihar,Aurangabad,Bihar,AURANGABAD,NA,505
3_10_225_0,3_10_225_0,Bihar,Banka,Bihar,BANKA,NA,NA
3_10_222_0,3_10_222_0,Bihar,Begusarai,Bihar,BEGUSARAI,NA,517
3_10_224_0,3_10_224_0,Bihar,Bhagalpur,Bihar,BHAGALPUR,NA,527
3_10_231_0,3_10_231_0,Bihar,Bhojpur,Bihar,BHOJPUR,NA,503
3_10_232_0,3_10_232_0,Bihar,Buxar,Bihar,BUXAR,NA,NA
3_10_215_0,3_10_215_0,Bihar,Darbhanga,Bihar,DARBHANGA,NA,519
3_10_236_0,3_10_236_0,Bihar,Gaya,Bihar,GAYA,NA,507
3_10_217_0,3_10_217_0,Bihar,Gopalganj,Bihar,GOPALGANJ,NA,511
3_10_233_0,3_10_233_0,Bihar,Kaimur (Bhabua),Bihar,KAIMUR (BHABUA),NA,NA
3_10_212_0,3_10_212_0,Bihar,Katihar,Bihar,KATIHAR,NA,NA
3_10_223_0,3_10_223_0,Bihar,Khagaria,Bihar,KHAGARIA,NA,525
3_10_210_0,3_10_210_0,Bihar,Kishanganj,Bihar,KISHANGANJ,NA,542
3_10_213_0,3_10_213_0,Bihar,Madhepura,Bihar,MADHEPURA,NA,522
3_10_207_0,3_10_207_0,Bihar,Madhubani,Bihar,MADHUBANI,NA,520
3_10_226_0,3_10_226_0,Bihar,Munger,Bihar,MUNGER,NA,526
3_10_216_0,3_10_216_0,Bihar,Muzaffarpur,Bihar,MUZAFFARPUR,NA,NA
3_10_229_0,3_10_229_0,Bihar,Nalanda,Bihar,NALANDA,NA,502
3_10_237_0,3_10_237_0,Bihar,Nawada,Bihar,NAWADA,NA,508
3_10_203_0,3_10_203_0,Bihar,Pashchim Champaran,Bihar,WEST CHAMPARAN,NA,NA
3_10_230_0,3_10_230_0,Bihar,Patna,Bihar,PATNA,NA,501
3_10_204_0,3_10_204_0,Bihar,Purba Champaran,Bihar,EAST CHAMPARAN,NA,NA
3_10_211_0,3_10_211_0,Bihar,Purnia,Bihar,PURNEA,NA,NA
3_10_234_0,3_10_234_0,Bihar,Rohtas,Bihar,ROHTAS,NA,504
3_10_214_0,3_10_214_0,Bihar,Saharsa,Bihar,SAHARSA,NA,NA
3_10_221_0,3_10_221_0,Bihar,Samastipur,Bihar,SAMASTIPUR,NA,518
3_10_219_0,3_10_219_0,Bihar,Saran,Bihar,SARAN,NA,509
3_10_218_0,3_10_218_0,Bihar,Siwan,Bihar,SIWAN,NA,510
3_10_208_0,3_10_208_0,Bihar,Supaul,Bihar,SUPAUL,NA,NA
3_10_220_0,3_10_220_0,Bihar,Vaishali,Bihar,VAISHALI,NA,516
3_4_55_0,3_4_55_0,Chandigarh,Chandigarh,Chandigarh,CHANDIGARH,NA,2801
3_22_412_0,3_22_410_0,Chhattisgarh,Dhamtari,NA,NA,Dhamtari and Mahasamund districts split from Raipur;,NA
