finalId,distt_id66
3_35_638_0,3502
3_35_639_0,3503
3_35_640_0,3501
3_28_532_0,2801
3_28_553_0,2822
3_28_554_0,2823
3_28_545_0,2814
3_28_548_0,2817
3_28_536_0,2805
3_28_534_0,2803
3_28_541_0,2810
3_28_547_0,2816
3_28_552_0,2821
3_28_538_0,2807
3_28_535_0,2804
3_28_539_0,2808
3_28_533_0,2802
3_28_549_0,2818
3_28_537_0,2806
3_28_550_0,2819
3_28_542_0,2811
3_28_544_0,2813
3_28_543_0,2812
3_28_540_0,2809
3_28_546_0,2815
3_28_551_0,2820
3_12_259_0,NA
3_12_253_0,NA
3_12_251_0,NA
3_12_259_0,NA
3_12_257_1,NA
3_12_248_0,NA
3_12_254_0,NA
3_12_250_0,NA
3_18_303_0,1825
3_18_303_0,1805
3_18_303_0,1804
3_18_316_0,1821
3_18_303_0,1824
3_18_325_0,1808
3_18_308_0,1813
3_18_301_0,1802
3_18_310_0,1815
3_18_315_0,1820
3_18_302_0,1803
3_18_313_0,1818
3_18_318_0,1823
3_18_312_0,1817
3_18_303_0,1806
3_18_303_0,1826
3_18_314_0,1819
3_18_317_0,1822
3_18_303_0,1801
3_18_307_0,1812
3_18_304_0,1809
3_18_305_0,1810
3_18_303_0,1807
3_18_311_0,1816
3_18_325_0,1811
3_18_309_0,1814
3_18_325_0,1827
3_10_209_0,1007
3_10_239_0,1038
3_10_235_0,1034
3_10_225_0,1023
3_10_222_0,1020
3_10_224_0,1022
3_10_231_0,1029
3_10_232_0,1030
3_10_215_0,1013
3_10_236_0,1035
3_10_217_0,1015
3_10_238_0,1037
3_10_239_0,1033
3_10_233_0,1031
3_10_212_0,1010
3_10_223_0,1021
3_10_210_0,1008
3_10_227_0,1025
3_10_213_0,1011
3_10_207_0,1005
3_10_226_0,1024
3_10_216_0,1014
3_10_229_0,1027
3_10_237_0,1036
3_10_203_0,1001
3_10_230_0,1028
3_10_204_0,1002
3_10_211_0,1009
3_10_234_0,1032
3_10_214_0,1012
3_10_221_0,1019
3_10_219_0,1017
3_10_228_0,1026
3_10_205_0,1003
3_10_206_0,1004
3_10_218_0,1016
3_10_208_0,1006
3_10_220_0,1018
3_4_55_0,401
3_22_414_0,2215
3_22_416_0,2218
3_22_406_0,2207
3_22_416_0,2216
3_22_412_0,2213
3_22_409_0,2210
3_22_405_0,2206
3_22_402_0,2203
3_22_407_0,2208
3_22_404_0,2205
3_22_400_0,2201
3_22_411_0,2212
3_22_414_0,2217
3_22_403_0,2204
3_22_410_0,2211
3_22_408_0,2209
3_22_401_0,2202
3_22_413_0,2214
3_26_496_0,2601
3_25_495_0,2502
3_25_494_0,2501
3_30_585_0,3001
3_30_586_0,3002
3_24_474_0,2407
3_24_480_0,2413
3_24_482_0,2415
3_24_469_0,2402
3_24_488_0,2421
3_24_481_0,2414
3_24_485_0,2418
3_24_473_0,2406
3_24_477_0,2410
3_24_479_0,2412
3_24_468_0,2401
3_24_483_0,2416
3_24_471_0,2404
3_24_487_0,2420
3_24_490_0,2424
3_24_484_0,2417
3_24_470_0,2403
3_24_478_0,2411
3_24_476_0,2409
3_24_472_0,2405
3_24_492_0,2422
3_24_475_0,2408
3_24_492_0,2422
3_24_489_0,2423
3_24_486_0,2419
3_24_491_0,2425
3_6_70_0,602
3_6_81_0,613
3_6_88_0,619
3_6_78_0,610
3_6_86_0,618
3_6_80_0,612
3_6_83_0,615
3_6_77_0,609
3_6_73_0,605
3_6_74_0,606
3_6_72_0,604
3_6_84_0,616
3_6_86_0,620
3_6_88_0,619
3_6_69_0,601
3_6_75_0,607
3_6_85_0,617
3_6_82_0,614
3_6_79_0,611
3_6_76_0,608
3_6_71_0,603
3_2_30_0,208
3_2_23_0,201
3_2_28_0,206
3_2_24_0,202
3_2_34_0,212
3_2_26_0,204
3_2_25_0,203
3_2_27_0,205
3_2_33_0,211
3_2_32_0,210
3_2_31_0,209
3_2_29_0,207
3_12_260_1,NA
3_12_257_1,NA
3_12_247_1,NA
3_12_251_1,NA
3_12_255_1,NA
3_12_259_1,NA
3_12_257_1,NA
3_12_255_1,NA
3_12_248_1,NA
3_12_245_1,NA
3_12_252_1,NA
3_12_249_1,NA
3_12_246_1,NA
3_12_250_1,NA
3_1_3_1,NA
3_1_14_0,106
3_1_2_0,104
3_1_8_0,102
3_1_8_0,102
3_1_16_0,109
3_1_10_0,103
3_1_21_0,113
3_1_4_0,108
3_1_21_0,114
3_1_16_0,109
3_1_14_0,106
3_1_1_0,101
3_1_3_0,107
3_1_12_0,105
3_1_5_0,111
3_1_6_0,112
3_1_17_0,NA
3_1_20_0,NA
3_1_21_0,113
3_1_12_0,105
3_1_10_0,103
3_1_19_0,110
3_20_355_0,2013
3_20_347_0,2003
3_20_350_0,2007
3_20_354_0,2012
3_20_362_0,2011
3_20_346_0,2001
3_20_349_0,2006
3_20_351_0,2008
3_20_366_0,2016
3_20_360_0,2004
3_20_362_0,2021
3_20_364_0,2014
3_20_348_0,2005
3_20_359_0,2019
3_20_356_0,2015
3_20_353_0,2010
3_20_359_0,2002
3_20_368_0,2017
3_20_357_0,2018
3_20_360_0,2004
3_20_364_0,2014
3_20_352_0,2009
3_20_368_0,2022
3_20_366_0,2020
3_29_556_0,2902
3_29_572_0,2920
3_29_583_0,2921
3_29_555_0,2901
3_29_565_0,2912
3_29_558_0,2905
3_29_557_0,2903
3_29_578_0,2927
3_29_581_0,2929
3_29_570_0,2917
3_29_566_0,2913
3_29_575_0,2924
3_29_567_0,2914
3_29_562_0,2909
3_29_561_0,2908
3_29_579_0,2904
3_29_574_0,2923
3_29_564_0,2911
3_29_576_0,2925
3_29_581_0,2919
3_29_560_0,2907
3_29_573_0,2922
3_29_577_0,2926
3_29_559_0,2906
3_29_583_0,2928
3_29_568_0,2915
3_29_571_0,2918
3_29_569_0,2916
3_29_563_0,2910
3_29_579_0,2904
3_32_598_0,3211
3_32_595_0,3208
3_32_596_0,3209
3_32_589_0,3202
3_32_588_0,3201
3_32_600_0,3213
3_32_597_0,3210
3_32_591_0,3204
3_32_592_0,3205
3_32_593_0,3206
3_32_599_0,3212
3_32_601_0,3214
3_32_594_0,3207
3_32_590_0,3203
3_31_587_0,3101
3_23_464_0,2324
3_23_460_0,2347
3_23_458_0,2346
3_23_457_0,2345
3_23_441_0,2328
3_23_447_0,2335
3_23_420_0,2303
3_23_444_0,2332
3_23_466_0,2348
3_23_425_0,2309
3_23_455_0,2343
3_23_428_0,2312
3_23_422_0,2305
3_23_437_0,2323
3_23_438_0,2325
3_23_453_0,2341
3_23_458_0,2307
3_23_421_0,2304
