finalId,spatialState,spatialDistrict,nss2001State,nss2001District,Note,distt_id50
3_35_638_0,Andaman & Nicobar Islands,Nicobars,A  & N Islands,NICOBARS,NA,NA
3_35_639_0,Andaman & Nicobar Islands,North  & Middle Andaman,NA,NA,NA,NA
3_35_640_0,Andaman & Nicobar Islands,South Andaman,A  & N Islands,ANDAMANS,NA,2701
3_28_532_0,Andhra Pradesh,Adilabad,Andhra Pradesh,ADILABAD,NA,219
3_28_553_0,Andhra Pradesh,Anantapur,Andhra Pradesh,ANANTAPUR,NA,212
3_28_554_0,Andhra Pradesh,Chittoor,Andhra Pradesh,CHITTOOR,NA,NA
3_28_545_0,Andhra Pradesh,East Godavari,Andhra Pradesh,EAST GODAVARI,NA,NA
3_28_548_0,Andhra Pradesh,Guntur,Andhra Pradesh,GUNTUR,NA,207
3_28_536_0,Andhra Pradesh,Hyderabad,Andhra Pradesh,HYDERABAD,NA,NA
3_28_534_0,Andhra Pradesh,Karimnagar,Andhra Pradesh,KARIMNAGAR,NA,220
3_28_541_0,Andhra Pradesh,Khammam,Andhra Pradesh,KHAMMAM,NA,222
3_28_547_0,Andhra Pradesh,Krishna,Andhra Pradesh,KRISHNA,NA,206
3_28_552_0,Andhra Pradesh,Kurnool,Andhra Pradesh,KURNOOL,NA,213
3_28_538_0,Andhra Pradesh,Mahbubnagar,Andhra Pradesh,MAHBUBNAGAR,NA,214
3_28_535_0,Andhra Pradesh,Medak,Andhra Pradesh,MEDAK,NA,217
3_28_539_0,Andhra Pradesh,Nalgonda,Andhra Pradesh,NALGONDA,NA,223
3_28_533_0,Andhra Pradesh,Nizamabad,Andhra Pradesh,NIZAMABAD,NA,218
3_28_549_0,Andhra Pradesh,Prakasam,Andhra Pradesh,PRAKASAM,NA,NA
3_28_537_0,Andhra Pradesh,Rangareddy,Andhra Pradesh,RANGAREDDI,NA,NA
3_28_550_0,Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh,NELLORE,NA,209
3_28_542_0,Andhra Pradesh,Srikakulam,Andhra Pradesh,SRIKAKULAM,NA,NA
3_28_544_0,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,VISAKHAPATNAM,NA,NA
3_28_543_0,Andhra Pradesh,Vizianagaram,Andhra Pradesh,VIZIANAGARAM,NA,NA
3_28_540_0,Andhra Pradesh,Warangal,Andhra Pradesh,WARANGAL,NA,NA
3_28_546_0,Andhra Pradesh,West Godavari,Andhra Pradesh,WEST GODAVARI,NA,NA
3_28_551_0,Andhra Pradesh,Y.S.R.,Andhra Pradesh,CUDDAPAH,NA,211
3_12_259_0,Arunachal Pradesh,Anjaw,NA,NA,2004-02-16: Anjaw district split from Lohit.,NA
3_12_253_0,Arunachal Pradesh,Changlang,Arunachal Pradesh,CHANGLANG,NA,311
3_12_251_0,Arunachal Pradesh,East Siang,Arunachal Pradesh,EAST SIANG,NA,307
3_12_257_1,Arunachal Pradesh,Lower Dibang Valley,Arunachal Pradesh,DIBANG VALLEY,2001-12-16: Dibang Valley district split into Lower Dibang Valley and Upper Dibang Valley.,308
3_12_248_0,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,PAPUM PARE,NA,NA
3_12_254_0,Arunachal Pradesh,Tirap,Arunachal Pradesh,TIRAP,NA,NA
3_12_250_0,Arunachal Pradesh,West Siang,Arunachal Pradesh,WEST SIANG,NA,306
3_18_303_0,Assam,Baksa,NA,NA,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",NA
3_18_316_0,Assam,Cachar,Assam,CACHAR,NA,423
3_18_325_0,Assam,Darrang,Assam,DARRANG,Udalguri district formed from parts of Darrang and Sonitpur.,NA
3_18_308_0,Assam,Dhemaji,Assam,DHEMAJI,NA,411
3_18_301_0,Assam,Dhubri,Assam,DHUBRI,NA,401
3_18_310_0,Assam,Dibrugarh,Assam,DIBRUGARH,NA,417
3_18_315_0,Assam,Dima Hasao,Assam,NORTH CACHAR HILLS,NA,NA
3_18_302_0,Assam,Goalpara,Assam,GOALPARA,NA,404
3_18_313_0,Assam,Golaghat,Assam,GOLAGHAT,NA,414
3_18_318_0,Assam,Hailakandi,Assam,HAILAKANDI,NA,NA
3_18_312_0,Assam,Jorhat,Assam,JORHAT,NA,415
3_18_314_0,Assam,Karbi Anglong,Assam,KARBI ANGLONG,NA,NA
3_18_317_0,Assam,Karimganj,Assam,KARIMGANJ,NA,421
3_18_307_0,Assam,Lakhimpur,Assam,LAKHIMPUR,NA,410
3_18_304_0,Assam,Morigaon,Assam,MARIGAON,NA,412
3_18_305_0,Assam,Nagaon,Assam,NAGAON,NA,NA
3_18_311_0,Assam,Sivasagar,Assam,SIBSAGAR,NA,416
3_18_309_0,Assam,Tinsukia,Assam,TINSUKIA,NA,418
3_10_209_0,Bihar,Araria,Bihar,ARARIA,NA,NA
3_10_239_0,Bihar,Arwal,NA,NA,Arwal district split from Jehanabad,NA
3_10_235_0,Bihar,Aurangabad,Bihar,AURANGABAD,NA,505
3_10_225_0,Bihar,Banka,Bihar,BANKA,NA,NA
3_10_222_0,Bihar,Begusarai,Bihar,BEGUSARAI,NA,517
3_10_224_0,Bihar,Bhagalpur,Bihar,BHAGALPUR,NA,527
3_10_231_0,Bihar,Bhojpur,Bihar,BHOJPUR,NA,503
3_10_232_0,Bihar,Buxar,Bihar,BUXAR,NA,NA
3_10_215_0,Bihar,Darbhanga,Bihar,DARBHANGA,NA,519
3_10_236_0,Bihar,Gaya,Bihar,GAYA,NA,507
3_10_217_0,Bihar,Gopalganj,Bihar,GOPALGANJ,NA,511
3_10_238_0,Bihar,Jamui,Bihar,JAMUI,NA,NA
3_10_233_0,Bihar,Kaimur (Bhabua),Bihar,KAIMUR (BHABUA),NA,NA
3_10_212_0,Bihar,Katihar,Bihar,KATIHAR,NA,NA
3_10_223_0,Bihar,Khagaria,Bihar,KHAGARIA,NA,525
3_10_210_0,Bihar,Kishanganj,Bihar,KISHANGANJ,NA,542
3_10_227_0,Bihar,Lakhisarai,Bihar,LAKHISARAI,NA,NA
3_10_213_0,Bihar,Madhepura,Bihar,MADHEPURA,NA,522
3_10_207_0,Bihar,Madhubani,Bihar,MADHUBANI,NA,520
3_10_226_0,Bihar,Munger,Bihar,MUNGER,NA,526
3_10_216_0,Bihar,Muzaffarpur,Bihar,MUZAFFARPUR,NA,NA
3_10_229_0,Bihar,Nalanda,Bihar,NALANDA,NA,502
3_10_237_0,Bihar,Nawada,Bihar,NAWADA,NA,508
3_10_203_0,Bihar,Pashchim Champaran,Bihar,PASHCHIM CHAMPARAN,NA,NA
