spatialId,finalId,spatialState,spatialDistrict,nss2001State,nss2001District,Note,distt_id55,NSS2000_state_id,NSS2000_dist_code
3_35_638_0,3_35_638_0,Andaman & Nicobar Islands,Nicobars,A  & N Islands,Nicobars,NA,NA,NA,NA
3_35_639_0,3_35_639_0,Andaman & Nicobar Islands,North  & Middle Andaman,NA,NA,NA,NA,NA,NA
3_35_640_0,3_35_640_0,Andaman & Nicobar Islands,South Andaman,A  & N Islands,Andamans,NA,NA,NA,NA
3_28_532_0,3_28_532_0,Andhra Pradesh,Adilabad,Andhra Pradesh,Adilabad,NA,219,2.0,19
3_28_553_0,3_28_553_0,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,NA,NA,NA,NA
3_28_554_0,3_28_554_0,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,NA,210,2.0,10
3_28_545_0,3_28_545_0,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,NA,204,2.0,04
3_28_548_0,3_28_548_0,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,NA,207,2.0,07
3_28_536_0,3_28_536_0,Andhra Pradesh,Hyderabad,Andhra Pradesh,Hyderabad,NA,216,2.0,16
3_28_534_0,3_28_534_0,Andhra Pradesh,Karimnagar,Andhra Pradesh,Karimnagar,NA,220,2.0,20
3_28_541_0,3_28_541_0,Andhra Pradesh,Khammam,Andhra Pradesh,Khammam,NA,222,2.0,22
3_28_547_0,3_28_547_0,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,NA,206,2.0,06
3_28_552_0,3_28_552_0,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,NA,213,2.0,13
3_28_538_0,3_28_538_0,Andhra Pradesh,Mahbubnagar,Andhra Pradesh,Mahbubnagar,NA,214,2.0,14
3_28_535_0,3_28_535_0,Andhra Pradesh,Medak,Andhra Pradesh,Medak,NA,217,2.0,17
3_28_539_0,3_28_539_0,Andhra Pradesh,Nalgonda,Andhra Pradesh,Nalgonda,NA,223,2.0,23
3_28_533_0,3_28_533_0,Andhra Pradesh,Nizamabad,Andhra Pradesh,Nizamabad,NA,218,2.0,18
3_28_549_0,3_28_549_0,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,NA,208,2.0,08
3_28_537_0,3_28_537_0,Andhra Pradesh,Rangareddy,Andhra Pradesh,Rangareddi,NA,NA,NA,NA
3_28_550_0,3_28_550_0,Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh,Nellore,NA,209,2.0,09
3_28_542_0,3_28_542_0,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,NA,201,2.0,01
3_28_544_0,3_28_544_0,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,NA,NA,NA,NA
3_28_543_0,3_28_543_0,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,NA,202,2.0,02
3_28_540_0,3_28_540_0,Andhra Pradesh,Warangal,Andhra Pradesh,Warangal,NA,221,2.0,21
3_28_546_0,3_28_546_0,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,NA,205,2.0,05
3_28_551_0,3_28_551_0,Andhra Pradesh,Y.S.R.,Andhra Pradesh,Cuddapah,NA,211,2.0,11
3_12_253_0,3_12_253_0,Arunachal Pradesh,Changlang,Arunachal Pradesh,Changlang,NA,NA,NA,NA
3_12_251_0,3_12_251_0,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,NA,307,3.0,07
3_12_259_0,3_12_259_0,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,2004-02-16: Anjaw district split from Lohit.,309,3.0,09
3_12_248_0,3_12_248_0,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,Papum Pare,NA,NA,NA,NA
3_12_254_0,3_12_254_0,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,NA,310,3.0,10
3_12_250_0,3_12_250_0,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,NA,306,3.0,06
3_18_303_0,3_18_303_0,Assam,Barpeta,Assam,Barpeta,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",405,4.0,05
3_18_316_0,3_18_316_0,Assam,Cachar,Assam,Cachar,NA,423,4.0,23
3_18_325_0,3_18_325_0,Assam,Darrang,Assam,Darrang,Udalguri district formed from parts of Darrang and Sonitpur.,408,4.0,08
3_18_308_0,3_18_308_0,Assam,Dhemaji,Assam,Dhemaji,NA,411,4.0,11
3_18_301_0,3_18_301_0,Assam,Dhubri,Assam,Dhubri,NA,401,4.0,01
3_18_310_0,3_18_310_0,Assam,Dibrugarh,Assam,Dibrugarh,NA,417,4.0,17
3_18_315_0,3_18_315_0,Assam,Dima Hasao,Assam,North Cachar Hills,NA,420,4.0,20
3_18_302_0,3_18_302_0,Assam,Goalpara,Assam,Goalpara,NA,404,4.0,04
3_18_313_0,3_18_313_0,Assam,Golaghat,Assam,Golaghat,NA,414,4.0,14
3_18_318_0,3_18_318_0,Assam,Hailakandi,Assam,Hailakandi,NA,422,4.0,22
3_18_312_0,3_18_312_0,Assam,Jorhat,Assam,Jorhat,NA,415,4.0,15
3_18_314_0,3_18_314_0,Assam,Karbi Anglong,Assam,Karbi Anglong,NA,NA,NA,NA
3_18_317_0,3_18_317_0,Assam,Karimganj,Assam,Karimganj,NA,421,4.0,21
3_18_307_0,3_18_307_0,Assam,Lakhimpur,Assam,Lakhimpur,NA,410,4.0,10
3_18_304_0,3_18_304_0,Assam,Morigaon,Assam,Marigaon,NA,NA,NA,NA
3_18_305_0,3_18_305_0,Assam,Nagaon,Assam,Nagaon,NA,NA,NA,NA
3_18_311_0,3_18_311_0,Assam,Sivasagar,Assam,Sibsagar,NA,416,4.0,16
3_18_309_0,3_18_309_0,Assam,Tinsukia,Assam,Tinsukia,NA,418,4.0,18
3_10_209_0,3_10_209_0,Bihar,Araria,Bihar,Araria,NA,541,5.0,41
3_10_235_0,3_10_235_0,Bihar,Aurangabad,Bihar,Aurangabad,NA,505,5.0,05
3_10_225_0,3_10_225_0,Bihar,Banka,Bihar,Banka,NA,547,5.0,47
3_10_222_0,3_10_222_0,Bihar,Begusarai,Bihar,Begusarai,NA,517,5.0,17
3_10_224_0,3_10_224_0,Bihar,Bhagalpur,Bihar,Bhagalpur,NA,527,5.0,27
3_10_231_0,3_10_231_0,Bihar,Bhojpur,Bihar,Bhojpur,NA,503,5.0,03
3_10_232_0,3_10_232_0,Bihar,Buxar,Bihar,Buxar,NA,543,5.0,43
3_10_215_0,3_10_215_0,Bihar,Darbhanga,Bihar,Darbhanga,NA,519,5.0,19
3_10_236_0,3_10_236_0,Bihar,Gaya,Bihar,Gaya,NA,507,5.0,07
3_10_217_0,3_10_217_0,Bihar,Gopalganj,Bihar,Gopalganj,NA,511,5.0,11
3_10_238_0,3_10_238_0,Bihar,Jamui,Bihar,Jamui,NA,546,5.0,46
3_10_239_0,3_10_239_0,Bihar,Jehanabad,Bihar,Jehanabad,Arwal district split from Jehanabad,506,5.0,06
3_10_233_0,3_10_233_0,Bihar,Kaimur (Bhabua),Bihar,Kaimur (Bhabua),NA,544,5.0,44
3_10_212_0,3_10_212_0,Bihar,Katihar,Bihar,Katihar,NA,524,5.0,24
3_10_223_0,3_10_223_0,Bihar,Khagaria,Bihar,Khagaria,NA,525,5.0,25
3_10_210_0,3_10_210_0,Bihar,Kishanganj,Bihar,Kishanganj,NA,542,5.0,42
3_10_227_0,3_10_227_0,Bihar,Lakhisarai,Bihar,Lakhisarai,NA,NA,NA,NA
3_10_213_0,3_10_213_0,Bihar,Madhepura,Bihar,Madhepura,NA,522,5.0,22
3_10_207_0,3_10_207_0,Bihar,Madhubani,Bihar,Madhubani,NA,520,5.0,20
3_10_226_0,3_10_226_0,Bihar,Munger,Bihar,Munger,NA,526,5.0,26
3_10_216_0,3_10_216_0,Bihar,Muzaffarpur,Bihar,Muzaffarpur,NA,515,5.0,15
3_10_229_0,3_10_229_0,Bihar,Nalanda,Bihar,Nalanda,NA,502,5.0,02
3_10_237_0,3_10_237_0,Bihar,Nawada,Bihar,Nawada,NA,508,5.0,08
3_10_203_0,3_10_203_0,Bihar,Pashchim Champaran,Bihar,Pashchim Champaran,NA,NA,NA,NA
3_10_230_0,3_10_230_0,Bihar,Patna,Bihar,Patna,NA,501,5.0,01
3_10_204_0,3_10_204_0,Bihar,Purba Champaran,Bihar,Purba Champaran,NA,NA,NA,NA
3_10_211_0,3_10_211_0,Bihar,Purnia,Bihar,Purnia,NA,NA,NA,NA
3_10_234_0,3_10_234_0,Bihar,Rohtas,Bihar,Rohtas,NA,504,5.0,04
3_10_214_0,3_10_214_0,Bihar,Saharsa,Bihar,Saharsa,NA,521,5.0,21
3_10_221_0,3_10_221_0,Bihar,Samastipur,Bihar,Samastipur,NA,518,5.0,18
3_10_219_0,3_10_219_0,Bihar,Saran,Bihar,Saran,NA,509,5.0,09
3_10_228_0,3_10_228_0,Bihar,Sheikhpura,Bihar,Sheikhpura,NA,NA,NA,NA
3_10_205_0,3_10_205_0,Bihar,Sheohar,Bihar,Sheohar,NA,NA,NA,NA
3_10_206_0,3_10_206_0,Bihar,Sitamarhi,Bihar,Sitamarhi,NA,514,5.0,14
3_10_218_0,3_10_218_0,Bihar,Siwan,Bihar,Siwan,NA,510,5.0,10
3_10_208_0,3_10_208_0,Bihar,Supaul,Bihar,Supaul,NA,545,5.0,45
3_10_220_0,3_10_220_0,Bihar,Vaishali,Bihar,Vaishali,NA,516,5.0,16
3_4_55_0,3_4_55_0,Chandigarh,Chandigarh,Chandigarh,Chandigarh,NA,2801,28.0,01
3_22_414_0,3_22_414_0,Chhattisgarh,Bastar,Chhatisgarh,Bastar,Narayanpur district split from Bastar.,NA,NA,NA
3_22_406_0,3_22_406_0,Chhattisgarh,Bilaspur,Chhatisgarh,Bilaspur,NA,NA,NA,NA
3_22_416_0,3_22_416_0,Chhattisgarh,Dakshin Bastar Dantewada,Chhatisgarh,Dantewara,Dantewada district split into Bijapur and Dakshin Bastar Dantewada,NA,NA,NA
3_22_412_0,3_22_412_0,Chhattisgarh,Dhamtari,Chhatisgarh,Dhamtari,NA,NA,NA,NA
3_22_409_0,3_22_409_0,Chhattisgarh,Durg,Chhatisgarh,Durg,NA,NA,NA,NA
3_22_405_0,3_22_405_0,Chhattisgarh,Janjgir - Champa,Chhatisgarh,Janjgir-Champa,NA,NA,NA,NA
3_22_402_0,3_22_402_0,Chhattisgarh,Jashpur,Chhatisgarh,Jashpur,NA,NA,NA,NA
3_22_407_0,3_22_407_0,Chhattisgarh,Kabeerdham,Chhatisgarh,Kawardha,NA,NA,NA,NA
3_22_404_0,3_22_404_0,Chhattisgarh,Korba,Chhatisgarh,Korba,NA,NA,NA,NA
3_22_400_0,3_22_400_0,Chhattisgarh,Koriya,Chhatisgarh,Koria,NA,NA,NA,NA
3_22_411_0,3_22_411_0,Chhattisgarh,Mahasamund,Chhatisgarh,Mahasamund,NA,NA,NA,NA
3_22_403_0,3_22_403_0,Chhattisgarh,Raigarh,Chhatisgarh,Raigarh,NA,NA,NA,NA
3_22_410_0,3_22_410_0,Chhattisgarh,Raipur,Chhatisgarh,Raipur,NA,NA,NA,NA
3_22_408_0,3_22_408_0,Chhattisgarh,Rajnandgaon,Chhatisgarh,Rajnandgaon,NA,NA,NA,NA
3_22_401_0,3_22_401_0,Chhattisgarh,Surguja,Chhatisgarh,Surguja,NA,NA,NA,NA
3_22_413_0,3_22_413_0,Chhattisgarh,Uttar Bastar Kanker,Chhatisgarh,Kanker,NA,NA,NA,NA
3_26_496_0,3_26_496_0,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,NA,2901,29.0,01
3_25_495_0,3_25_495_0,Daman & Diu,Daman,Daman & Diu,Daman,NA,3001,30.0,01
