spatialState,spatialDistrict,spatialId,finalId,distt_id55,Note
Andaman & Nicobar Islands,Nicobars,3_35_638_0,3_35_638_0,NA,NA
Andaman & Nicobar Islands,North  & Middle Andaman,3_35_639_0,3_35_639_0,NA,NA
Andaman & Nicobar Islands,South Andaman,3_35_640_0,3_35_640_0,NA,NA
Andhra Pradesh,Adilabad,3_28_532_0,3_28_532_0,219,NA
Andhra Pradesh,Anantapur,3_28_553_0,3_28_553_0,NA,NA
Andhra Pradesh,Chittoor,3_28_554_0,3_28_554_0,210,NA
Andhra Pradesh,East Godavari,3_28_545_0,3_28_545_0,204,NA
Andhra Pradesh,Guntur,3_28_548_0,3_28_548_0,207,NA
Andhra Pradesh,Hyderabad,3_28_536_0,3_28_536_0,216,NA
Andhra Pradesh,Karimnagar,3_28_534_0,3_28_534_0,220,NA
Andhra Pradesh,Khammam,3_28_541_0,3_28_541_0,222,NA
Andhra Pradesh,Krishna,3_28_547_0,3_28_547_0,206,NA
Andhra Pradesh,Kurnool,3_28_552_0,3_28_552_0,213,NA
Andhra Pradesh,Mahbubnagar,3_28_538_0,3_28_538_0,214,NA
Andhra Pradesh,Medak,3_28_535_0,3_28_535_0,217,NA
Andhra Pradesh,Nalgonda,3_28_539_0,3_28_539_0,223,NA
Andhra Pradesh,Nizamabad,3_28_533_0,3_28_533_0,218,NA
Andhra Pradesh,Prakasam,3_28_549_0,3_28_549_0,208,NA
Andhra Pradesh,Rangareddy,3_28_537_0,3_28_537_0,NA,NA
Andhra Pradesh,Sri Potti Sriramulu Nellore,3_28_550_0,3_28_550_0,209,NA
Andhra Pradesh,Srikakulam,3_28_542_0,3_28_542_0,201,NA
Andhra Pradesh,Visakhapatnam,3_28_544_0,3_28_544_0,NA,NA
Andhra Pradesh,Vizianagaram,3_28_543_0,3_28_543_0,202,NA
Andhra Pradesh,Warangal,3_28_540_0,3_28_540_0,221,NA
Andhra Pradesh,West Godavari,3_28_546_0,3_28_546_0,205,NA
Andhra Pradesh,Y.S.R.,3_28_551_0,3_28_551_0,211,NA
Arunachal Pradesh,Anjaw,3_12_260_0,3_12_259_0,NA,2004-02-16: Anjaw district split from Lohit.
Arunachal Pradesh,Changlang,3_12_253_0,3_12_253_0,NA,NA
Arunachal Pradesh,East Siang,3_12_251_0,3_12_251_0,307,NA
