1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
2,A&N,A&N,Andaman,27,1,1,
3,A&N,A&N,Nicobar,27,1,2,
4,APR,Costal,Srikakulam,2,1,1,
5,APR,Costal,Vizianagaram,2,1,2,
6,APR,Costal,Vishakhapatnam,2,1,3,
7,APR,Costal,East Godavari,2,1,4,
8,APR,Costal,West Godawari,2,1,5,
9,APR,Costal,Krishna,2,1,6,
10,APR,Costal,Guntur,2,1,7,
11,APR,Costal,Prakasam,2,1,8,
12,APR,Costal,Nellore,2,1,9,
13,APR,Inland Northern,Mahbubnagar,2,2,14,
14,APR,Inland Northern,Rangareddy,2,2,15,
15,APR,Inland Northern,Hyderabad,2,2,16,
16,APR,Inland Northern,Medak,2,2,17,
17,APR,Inland Northern,Nizamabad,2,2,18,
18,APR,Inland Northern,Adilabad,2,2,19,
19,APR,Inland Northern,Karimnagar,2,2,20,
20,APR,Inland Northern,Warangal,2,2,21,
21,APR,Inland Northern,Khammam,2,2,22,
22,APR,Inland Northern,Nalgonda,2,2,23,
23,APR,Inland Southern,Chittoor,2,4,10,
24,APR,Inland Southern,Cuddapah,2,4,11,
25,APR,South - Western,Anantpur,2,3,12,
26,APR,South - Western,Kurnool,2,3,13,
27,ARP,ARP,Tawang,3,1,1,
28,ARP,ARP,West kameng,3,1,2,
29,ARP,ARP,West Kameng,3,1,3,
30,ARP,ARP,Lower Subansiri,3,1,4,
31,ARP,ARP,Upper Subansiri,3,1,5,
32,ARP,ARP,West Siang,3,1,6,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
34,ARP,ARP,Dibang,3,1,8,
35,ARP,ARP,Lohit,3,1,9,
36,ARP,ARP,Tirap,3,1,10,
37,ARP,ARP,Changlong,3,1,11,
38,ASS,Plains Western,Kokrajhar,4,3,2,
39,ASS,Hills,Karbiaglong,4,3,19,
40,ASS,Hills,North Cachar,4,3,20,
41,ASS,Plains Western,Bongaigaon,4,2,3,
42,ASS,Plains Western,Barpeta,4,2,5,
43,ASS,Plains Western,Nalbari,4,2,6,
44,ASS,Plains Western,Sonitpur,4,2,9,
45,ASS,Plains Eastern,Lakhimpur,4,1,10,
46,ASS,Plains Western,Morigaon,4,2,12,
47,ASS,Plains Eastern,Sibsagar,4,1,16,
48,ASS,Plains Eastern,Dibrugarh,4,1,17,
49,ASS,Plains Eastern,Tinsukia,4,1,18,
50,ASS,Plains Eastern,Cachar,4,1,23,
51,ASS,Plains Western,Dhubri,4,2,1,
52,ASS,Plains Western,Goalpara,4,2,4,
53,ASS,Plains Western,Kamrup,4,2,7,
54,ASS,Plains Western,Darrang,4,2,8,
55,ASS,Plains Eastern,Dhemaji,4,1,11,
56,ASS,Plains Western,Nowgong,4,2,13,
57,ASS,Plains Eastern,Golaghat,4,1,14,
58,ASS,Plains Eastern,Jorhat,4,1,15,
59,ASS,Plains Eastern,Karimgang,4,1,21,
60,ASS,Plains Eastern,Hailakandi,4,1,22,
61,BIH,Central,Patna,5,3,1,
62,BIH,Central,Nalanda,5,3,2,
63,BIH,Central,Bhojpur,5,3,3,
64,BIH,Central,Rohtas,5,3,4,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
34,ARP,ARP,Dibang,3,1,8,
35,ARP,ARP,Lohit,3,1,9,
36,ARP,ARP,Tirap,3,1,10,
37,ARP,ARP,Changlong,3,1,11,
38,ASS,Plains Western,Kokrajhar,4,3,2,
39,ASS,Hills,Karbiaglong,4,3,19,
40,ASS,Hills,North Cachar,4,3,20,
41,ASS,Plains Western,Bongaigaon,4,2,3,
42,ASS,Plains Western,Barpeta,4,2,5,
43,ASS,Plains Western,Nalbari,4,2,6,
44,ASS,Plains Western,Sonitpur,4,2,9,
45,ASS,Plains Eastern,Lakhimpur,4,1,10,
46,ASS,Plains Western,Morigaon,4,2,12,
