distt_id55,NSS2000_state_id,NSS2000_state,NSS2000_dist_code,NSS2000_dist
402,4.0,Assam,02,Kokrajhar
403,4.0,Assam,03,Bangaigaon
406,4.0,Assam,06,Nalbari
407,4.0,Assam,07,Kamrup
409,4.0,Assam,09,Sonitpur
549,5.0,Bihar,49,Bokaro
550,5.0,Bihar,50,Kodarma
551,5.0,Bihar,51,Chatra
1011,10.0,Jammu  & Kashmir,11,Kathua
1607,16.0,Meghalaya,07,Baghmara
2008,20.0,Punjab,08,Rupnagar
2121,21.0,Rajasthan,21,Udaipur
2122,21.0,Rajasthan,22,Chittaurgarh
2306,23.0,Tamil Nadu,06,South Arcot
2308,23.0,Tamil Nadu,08,Periyar
2604,26.0,West Bengal,04,West Dinajpur
