NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode"
A&N,A&N,Andaman,27,1,1
A&N,A&N,Nicobar,27,1,2
APR,Costal,Srikakulam,2,1,1
APR,Costal,Vizianagaram,2,1,2
APR,Costal,Vishakhapatnam,2,1,3
APR,Costal,East Godavari,2,1,4
APR,Costal,West Godawari,2,1,5
APR,Costal,Krishna,2,1,6
APR,Costal,Guntur,2,1,7
APR,Costal,Prakasam,2,1,8
APR,Costal,Nellore,2,1,9
APR,Inland Northern,Mahbubnagar,2,2,14
APR,Inland Northern,Rangareddy,2,2,15
APR,Inland Northern,Hyderabad,2,2,16
APR,Inland Northern,Medak,2,2,17
APR,Inland Northern,Nizamabad,2,2,18
APR,Inland Northern,Adilabad,2,2,19
APR,Inland Northern,Karimnagar,2,2,20
APR,Inland Northern,Warangal,2,2,21
APR,Inland Northern,Khammam,2,2,22
APR,Inland Northern,Nalgonda,2,2,23
APR,Inland Southern,Chittoor,2,4,10
APR,Inland Southern,Cuddapah,2,4,11
APR,South - Western,Anantpur,2,3,12
APR,South - Western,Kurnool,2,3,13
ARP,ARP,Tawang,3,1,1
ARP,ARP,West kameng,3,1,2
ARP,ARP,West Kameng,3,1,3
ARP,ARP,Lower Subansiri,3,1,4
ARP,ARP,Upper Subansiri,3,1,5
ARP,ARP,West Siang,3,1,6
ARP,ARP,Dibang,3,1,8
ARP,ARP,Lohit,3,1,9
ARP,ARP,Tirap,3,1,10
ARP,ARP,Changlong,3,1,11
ASS,Plains Western,Kokrajhar,4,3,2
ASS,Hills,Karbiaglong,4,3,19
ASS,Hills,North Cachar,4,3,20
ASS,Plains Western,Bongaigaon,4,2,3
ASS,Plains Western,Barpeta,4,2,5
ASS,Plains Western,Nalbari,4,2,6
ASS,Plains Western,Sonitpur,4,2,9
ASS,Plains Eastern,Lakhimpur,4,1,10
ASS,Plains Western,Morigaon,4,2,12
ASS,Plains Eastern,Sibsagar,4,1,16
ASS,Plains Eastern,Dibrugarh,4,1,17
ASS,Plains Eastern,Tinsukia,4,1,18
ASS,Plains Eastern,Cachar,4,1,23
ASS,Plains Western,Dhubri,4,2,1
ASS,Plains Western,Goalpara,4,2,4
ASS,Plains Western,Kamrup,4,2,7
ASS,Plains Western,Darrang,4,2,8
ASS,Plains Eastern,Dhemaji,4,1,11
ASS,Plains Western,Nowgong,4,2,13
ASS,Plains Eastern,Golaghat,4,1,14
ASS,Plains Eastern,Jorhat,4,1,15
ASS,Plains Eastern,Karimgang,4,1,21
ASS,Plains Eastern,Hailakandi,4,1,22
BIH,Central,Patna,5,3,1
BIH,Central,Nalanda,5,3,2
BIH,Central,Bhojpur,5,3,3
BIH,Central,Rohtas,5,3,4
ARP,ARP,Dibang,3,1,8
ARP,ARP,Lohit,3,1,9
ARP,ARP,Tirap,3,1,10
ARP,ARP,Changlong,3,1,11
ASS,Plains Western,Kokrajhar,4,3,2
ASS,Hills,Karbiaglong,4,3,19
ASS,Hills,North Cachar,4,3,20
ASS,Plains Western,Bongaigaon,4,2,3
ASS,Plains Western,Barpeta,4,2,5
ASS,Plains Western,Nalbari,4,2,6
ASS,Plains Western,Sonitpur,4,2,9
ASS,Plains Eastern,Lakhimpur,4,1,10
ASS,Plains Western,Morigaon,4,2,12
ASS,Plains Eastern,Sibsagar,4,1,16
ASS,Plains Eastern,Dibrugarh,4,1,17
ASS,Plains Eastern,Tinsukia,4,1,18
ASS,Plains Eastern,Cachar,4,1,23
ASS,Plains Western,Dhubri,4,2,1
ASS,Plains Western,Goalpara,4,2,4
ASS,Plains Western,Kamrup,4,2,7
ASS,Plains Western,Darrang,4,2,8
ASS,Plains Eastern,Dhemaji,4,1,11
ASS,Plains Western,Nowgong,4,2,13
ASS,Plains Eastern,Golaghat,4,1,14
ASS,Plains Eastern,Jorhat,4,1,15
ASS,Plains Eastern,Karimgang,4,1,21
ASS,Plains Eastern,Hailakandi,4,1,22
BIH,Central,Patna,5,3,1
BIH,Central,Nalanda,5,3,2
BIH,Central,Bhojpur,5,3,3
BIH,Central,Rohtas,5,3,4
BIH,Central,Jehanabad,5,3,6
BIH,Central,Gaya,5,3,7
BIH,Central,Nawada,5,3,8
BIH,Central,Begusarai,5,3,17
BIH,Central,Khagaria,5,3,25
BIH,Central,Munger,5,3,26
BIH,Central,Bhagalpur,5,3,27
BIH,Central,Buxar,5,3,43
BIH,Central,Bhabua,5,3,44
BIH,Central,Jamui,5,3,46
BIH,Central,Banka,5,3,47
BIH,Northern,Saran,5,2,9
BIH,Northern,Siwan,5,2,10
BIH,Northern,Gopalganj,5,2,11
BIH,Northern,West Champaran,5,2,12
BIH,Northern,East Champaran,5,2,13
BIH,Northern,Sitamari,5,2,14
BIH,Northern,Muzaffarpur,5,2,15
BIH,Northern,Vaishali,5,2,16
BIH,Northern,Samastipur,5,2,18
BIH,Northern,Darbhanga,5,2,19
BIH,Northern,Madhubani,5,2,20
BIH,Northern,Saharsa,5,2,21
BIH,Northern,Madhepura,5,2,22
BIH,Northern,Purnea,5,2,23
BIH,Northern,Katihar,5,2,24
BIH,Northern,Araria,5,2,41
BIH,Northern,Kishanganj,5,2,42
BIH,Northern,Supaul,5,2,45
BIH,Southern,Godda,5,1,28
BIH,Southern,Sahibaganj,5,1,29
BIH,Central,Jehanabad,5,3,6
BIH,Central,Gaya,5,3,7
BIH,Central,Nawada,5,3,8
BIH,Central,Begusarai,5,3,17
BIH,Central,Khagaria,5,3,25
BIH,Central,Munger,5,3,26
BIH,Central,Bhagalpur,5,3,27
BIH,Central,Buxar,5,3,43
BIH,Central,Bhabua,5,3,44
BIH,Central,Jamui,5,3,46
BIH,Central,Banka,5,3,47
BIH,Northern,Saran,5,2,9
BIH,Northern,Siwan,5,2,10
BIH,Northern,Gopalganj,5,2,11
BIH,Northern,West Champaran,5,2,12
BIH,Northern,East Champaran,5,2,13
BIH,Northern,Sitamari,5,2,14
BIH,Northern,Muzaffarpur,5,2,15
BIH,Northern,Vaishali,5,2,16
BIH,Northern,Samastipur,5,2,18
BIH,Northern,Darbhanga,5,2,19
BIH,Northern,Madhubani,5,2,20
BIH,Northern,Saharsa,5,2,21
BIH,Northern,Madhepura,5,2,22
BIH,Northern,Purnea,5,2,23
BIH,Northern,Katihar,5,2,24
BIH,Northern,Araria,5,2,41
BIH,Northern,Kishanganj,5,2,42
BIH,Northern,Supaul,5,2,45
BIH,Southern,Godda,5,1,28
BIH,Southern,Sahibaganj,5,1,29
BIH,Southern,Deoghar,5,1,31
BIH,Southern,Dhanbad,5,1,32
BIH,Southern,Giridih,5,1,33
BIH,Southern,Hazaribagh,5,1,34
BIH,Southern,Palamu,5,1,35
BIH,Southern,Lohardaga,5,1,36
BIH,Southern,Gumla,5,1,37
BIH,Southern,Ranchi,5,1,38
BIH,Southern,Purbi Singhbhum,5,1,39
BIH,Southern,Paschim Singhbhum,5,1,40
BIH,Southern,Pakur,5,1,48
BIH,Southern,Bokaro,5,1,49
BIH,Southern,Kodarma,5,1,50
BIH,Southern,Chatra,5,1,51
BIH,Southern,Garhwa,5,1,52
GOA,GOA,North,6,1,1
GOA,GOA,South,6,1,2
GUJ,Dry areas,Surendranagar,7,4,3
GUJ,Dry areas,Kachchh,7,4,7
GUJ,Dry areas,Bans Kantha,7,4,8
GUJ,Dry areas,Mahesana,7,4,10
GUJ,Eastern,Sabar Kantha,7,1,9
GUJ,Eastern,Panch Mahals,7,1,14
GUJ,Eastern,Vadodara,7,1,15
GUJ,Eastern,Bharuch,7,1,16
GUJ,Eastern,Surat,7,1,17
