state,year,governanceIndex
Gujarat,2001,0.66
Tamil Nadu,2001,0.6
Punjab,2001,0.6
Kerala,2001,0.57
Haryana,2001,0.55
Andhra Pradesh,2001,0.53
Karnataka,2001,0.51
Maharashtra,2001,0.5
Himachal Pradesh,2001,0.5
Chhattisgarh,2001,0.48
West Bengal,2001,0.44
Assam,2001,0.43
Madhya Pradesh,2001,0.38
Uttarakhand,2001,0.36
Odisha,2001,0.35
Rajasthan,2001,0.34
Jharkhand,2001,0.27
Uttar Pradesh,2001,0.19
Bihar,2001,0.16
Gujarat,2011,0.65
Tamil Nadu,2011,0.61
Andhra Pradesh,2011,0.59
Kerala,2011,0.59
Punjab,2011,0.58
Karnataka,2011,0.57
Uttarakhand,2011,0.56
Chhattisgarh,2011,0.54
Haryana,2011,0.53
Maharashtra,2011,0.5
Himachal Pradesh,2011,0.5
Rajasthan,2011,0.5
Madhya Pradesh,2011,0.49
Assam,2011,0.35
West Bengal,2011,0.34
Odisha,2011,0.31
Jharkhand,2011,0.3
Bihar,2011,0.29
Uttar Pradesh,2011,0.29
